# Test spectrum of model SSP with:
#	 age = 13.0 Gyr
#	 [Fe/H] = 0.0
#	 IMF = SPWL with alpha = 2.35
#	 sigma = 150.0 km/s
#	 SNR = 100
#----------------------------------
# wavelength	 flux	errorSpec
3540.5	0.692727428967	0.0122762143256
3541.4	0.682510252643	0.0122079520118
3542.3	0.683336148477	0.0121770571437
3543.2	0.686436747783	0.0122552788698
3544.1	0.702942806158	0.0123954223227
3545.0	0.720284521406	0.0124968488783
3545.9	0.73569515176	0.0125062055464
3546.8	0.747232737979	0.0124470389864
3547.7	0.703775972413	0.0123853687211
3548.6	0.703102094134	0.0123682081605
3549.5	0.708714485595	0.0123781563145
3550.4	0.72164921786	0.0123506220777
3551.3	0.689871289218	0.0122324457714
3552.2	0.68869264324	0.0120173181633
3553.1	0.634009531219	0.011751726869
3554.0	0.601199625617	0.0115282838598
3554.9	0.61148992658	0.0114345660158
3555.8	0.619592877479	0.0114665294949
3556.7	0.612355041693	0.0115230641843
3557.6	0.630570336846	0.0115177635576
3558.5	0.631014843661	0.011470496462
3559.4	0.61512157572	0.0114747741202
3560.3	0.648398934205	0.0115917751296
3561.2	0.662742672975	0.0117821288545
3562.1	0.637136793646	0.0119155911972
3563.0	0.678733389706	0.0118354994324
3563.9	0.617215320732	0.0114591325821
3564.8	0.554846177875	0.0108678265681
3565.7	0.489099602626	0.0102923203093
3566.6	0.481314625859	0.00993858028554
3567.5	0.446332588902	0.00979526225704
3568.4	0.421957437145	0.00968617113442
3569.3	0.406349442917	0.00951712879853
3570.2	0.418236581037	0.00940294139028
3571.1	0.422325714043	0.00953400755923
3572.0	0.441536318957	0.00993248296137
3572.9	0.527120071648	0.010418370019
3573.8	0.536150366102	0.0108076631457
3574.7	0.573560936053	0.0110367686908
3575.6	0.560973310174	0.0111052328275
3576.5	0.566410568302	0.0109854944262
3577.4	0.535140176103	0.0106340125394
3578.3	0.477515496611	0.0100643422955
3579.2	0.407292438344	0.00937523640978
3580.1	0.347110129341	0.00872843316919
3581.0	0.320771767483	0.00831353344398
3581.9	0.321877537905	0.00824315655559
3582.8	0.333509608557	0.00840950487274
3583.7	0.336326754616	0.00855226877742
3584.6	0.349798149525	0.00852141276438
3585.5	0.314462260806	0.00841812291758
3586.4	0.350116191944	0.00846954136613
3587.3	0.359738269005	0.00878551658095
3588.2	0.395446849537	0.00930661215689
3589.1	0.459360052177	0.00994727711589
3590.0	0.522074408209	0.010631339389
3590.9	0.58462896603	0.0112140929764
3591.8	0.612251526904	0.0115334372257
3592.7	0.635360109174	0.0115874890705
3593.6	0.630634862006	0.0115936425694
3594.5	0.647261434318	0.0117969219334
3595.4	0.699782861709	0.0122192723679
3596.3	0.741046482164	0.0126765626147
3597.2	0.788420397981	0.0130108617174
3598.1	0.82079237365	0.0132166275223
3599.0	0.841687960656	0.0133533582735
3599.9	0.833902357106	0.0133930647958
3600.8	0.801578779962	0.0132117917608
3601.7	0.783600404198	0.0127414027401
3602.6	0.669731468652	0.0120840966309
3603.5	0.605593373126	0.0114519397838
3604.4	0.554495904204	0.0110081254902
3605.3	0.526593793347	0.0107716180307
3606.2	0.538795221603	0.0106284543185
3607.1	0.521937389516	0.0104208294481
3608.0	0.485208199404	0.010104079626
3608.9	0.447224765624	0.00985361258814
3609.8	0.461588351791	0.00992788060912
3610.7	0.500931881808	0.0103573349723
3611.6	0.56977139641	0.0108999007692
3612.5	0.590917616522	0.0113332890979
3613.4	0.635739481509	0.0116342671065
3614.3	0.646728686549	0.0118608492072
3615.2	0.658834425563	0.0119576119696
3616.1	0.66048768232	0.0117594396373
3617.0	0.5991303656	0.0111856788012
3617.9	0.509684844478	0.0104135794456
3618.8	0.457810976301	0.00986004515189
3619.7	0.4419387394	0.00988335677752
3620.6	0.501851358942	0.0104395588946
3621.5	0.58999735034	0.0111810422045
3622.4	0.638825344665	0.011815101193
3623.3	0.699850310998	0.0122735882234
3624.2	0.736984694886	0.0126641437023
3625.1	0.811184878209	0.0130893385708
3626.0	0.854235593973	0.0134979266953
3626.9	0.880349443649	0.0137307594333
3627.8	0.880132463466	0.0136522986549
3628.7	0.814654974747	0.0131951441906
3629.6	0.708074603987	0.0123754966517
3630.5	0.595713601891	0.0113767577309
3631.4	0.508366845542	0.010576115362
3632.3	0.484798011568	0.0103020359038
3633.2	0.513401006111	0.0105169457137
3634.1	0.549908516536	0.0109390973318
3635.0	0.607824603103	0.0113832485514
3635.9	0.663002719846	0.0118171402907
3636.8	0.69142384682	0.0122474416154
3637.7	0.742022312232	0.0126658807805
3638.6	0.780914518621	0.0130375428809
3639.5	0.814706220786	0.0132910666461
3640.4	0.852867721427	0.0133519139962
3641.3	0.839066784794	0.0131986024748
3642.2	0.769209404261	0.0128775670336
3643.1	0.734508858162	0.0124723130364
3644.0	0.671341085566	0.0120604717916
3644.9	0.639807594683	0.0116758839883
3645.8	0.59576317431	0.0112985274082
3646.7	0.54985817661	0.0109180058688
3647.6	0.553417959554	0.0106325296369
3648.5	0.543857992212	0.0106252804755
3649.4	0.568925150495	0.0109839501247
3650.3	0.609966888091	0.0116011055727
3651.2	0.726747622979	0.0122803742737
3652.1	0.748468606591	0.0128646424201
3653.0	0.847048234914	0.0132816311257
3653.9	0.848180756641	0.0135492323377
3654.8	0.872958753478	0.013747794526
3655.7	0.914444214688	0.0139529089151
