# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:09 2017.
# Content of file: isochrone tables with [Fe/H] = -1.0.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 3.16 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
-1.0	9.5	0.1	3.4920869698	5.32	-2.97	14.324	12.7577272727	1	1
-1.0	9.5	0.11	3.51093471241	5.28	-2.81	13.5762727273	12.1894545455	1	1
-1.0	9.5	0.13	3.53203590116	5.22	-2.59636363636	12.7128181818	11.4754545455	1	1
-1.0	9.5	0.15	3.54442878778	5.18	-2.44090909091	12.1719090909	10.997	1	1
-1.0	9.5	0.1745	3.5459	5.1374	-2.3211	11.9044	10.9322	2	1
-1.0	9.5	0.212069	3.5572	5.0927	-2.146	11.3492	10.4055	2	1
-1.0	9.5	0.240184	3.5633	5.0628	-2.038	11.0227	10.0937	2	1
-1.0	9.5	0.264313	3.5675	5.0399	-1.9565	10.7798	9.8616	2	2
-1.0	9.5	0.285217	3.5707	5.0216	-1.8921	10.5896	9.6801	2	2
-1.0	9.5	0.298894	3.5728	5.008	-1.8499	10.4662	9.5622	2	2
-1.0	9.5	0.307223	3.574	4.9983	-1.8234	10.3894	9.4889	2	2
-1.0	9.5	0.313001	3.5748	4.9909	-1.8047	10.3358	9.4375	2	2
-1.0	9.5	0.317341	3.5754	4.9851	-1.7905	10.2952	9.3985	2	2
-1.0	9.5	0.320833	3.5759	4.98	-1.7788	10.2622	9.3669	2	2
-1.0	9.5	0.323976	3.5763	4.9756	-1.7685	10.2327	9.3387	2	2
-1.0	9.5	0.327402	3.5768	4.9714	-1.7578	10.2023	9.3095	2	2
-1.0	9.5	0.331994	3.5774	4.9667	-1.7446	10.1642	9.2732	2	2
-1.0	9.5	0.339544	3.5784	4.9605	-1.7245	10.1051	9.217	2	2
-1.0	9.5	0.381957	3.5864	4.9215	-1.6036	9.7394	8.8757	2	2
-1.0	9.5	0.42151	3.5954	4.878	-1.4801	9.3604	8.5257	2	2
-1.0	9.5	0.432522	3.5985	4.8633	-1.442	9.2421	8.4176	2	2
-1.0	9.5	0.444109	3.602	4.8481	-1.4012	9.1146	8.3017	2	2
-1.0	9.5	0.457527	3.6065	4.8311	-1.3533	8.9627	8.165	2	2
