# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:11 2017.
# Content of file: isochrone tables with [Fe/H] = -0.85.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 1.78 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
-0.85	9.25	0.1	3.48502950852	5.311	-2.98909090909	14.5872636364	12.9475454545	1	1
-0.85	9.25	0.11	3.50380737247	5.27209090909	-2.831	13.8132727273	12.3639181818	1	1
-0.85	9.25	0.13	3.52481130797	5.214	-2.61845454545	12.9219727273	11.6346181818	1	1
-0.85	9.25	0.15	3.53714154499	5.174	-2.46463636364	12.3660363636	11.1493181818	1	1
-0.85	9.25	0.205252	3.5488	5.0973	-2.1994	11.5853	10.6252	2	1
-0.85	9.25	0.249633	3.5582	5.0556	-2.0347	11.0752	10.1385	2	1
-0.85	9.25	0.284826	3.5641	5.0275	-1.9254	10.746	9.8235	2	2
-0.85	9.25	0.303061	3.5669	5.0107	-1.8704	10.5828	9.6671	2	2
-0.85	9.25	0.311751	3.5682	5.0006	-1.8429	10.5022	9.5898	2	2
-0.85	9.25	0.317122	3.5689	4.9933	-1.8251	10.4507	9.5402	2	2
-0.85	9.25	0.320902	3.5694	4.9874	-1.8119	10.413	9.504	2	2
-0.85	9.25	0.324019	3.5699	4.9821	-1.8007	10.3812	9.4733	2	2
-0.85	9.25	0.327136	3.5703	4.9771	-1.7897	10.35	9.4431	2	2
-0.85	9.25	0.330914	3.5708	4.9717	-1.7774	10.3141	9.4087	2	2
-0.85	9.25	0.336502	3.5716	4.9652	-1.7604	10.2645	9.3611	2	2
-0.85	9.25	0.356648	3.5753	4.9455	-1.7017	10.0833	9.188	2	2
-0.85	9.25	0.411173	3.5864	4.8916	-1.5407	9.591	8.7287	2	2
-0.85	9.25	0.426632	3.5903	4.8728	-1.4901	9.4326	8.5814	2	2
-0.85	9.25	0.43718	3.5934	4.8592	-1.4538	9.318	8.4757	2	2
-0.85	9.25	0.449037	3.597	4.8441	-1.4127	9.1875	8.356	2	2
-0.85	9.25	0.462236	3.6013	4.8276	-1.3661	9.0388	8.2207	2	2
-0.85	9.25	0.475135	3.606	4.8116	-1.3196	8.8887	8.0853	2	2
-0.85	9.25	0.487776	3.6109	4.7967	-1.2733	8.7381	7.9506	2	2
-0.85	9.25	0.50058	3.6164	4.7828	-1.2262	8.5828	7.8132	2	2
-0.85	9.25	0.514219	3.6231	4.77	-1.175	8.4122	7.664	2	2
-0.85	9.25	0.528282	3.6307	4.7587	-1.1217	8.228	7.506	2	2
-0.85	9.25	0.541791	3.6384	4.7496	-1.071	8.0499	7.3546	2	2
-0.85	9.25	0.554088	3.6453	4.7422	-1.0259	7.8911	7.2201	2	2
-0.85	9.25	0.565377	3.6519	4.7361	-0.9846	7.7449	7.097	2	2
-0.85	9.25	0.576371	3.6586	4.731	-0.9443	7.6007	6.9765	2	2
-0.85	9.25	0.583269	3.6638	4.7284	-0.9146	7.4917	6.8869	2	2
-0.85	9.25	0.598422	3.6733	4.7241	-0.8612	7.2977	6.7274	2	2
-0.85	9.25	0.623765	3.6883	4.7158	-0.7752	6.9981	6.4797	2	2
-0.85	9.25	0.663239	3.7101	4.701	-0.6471	6.5826	6.125	2	2
-0.85	9.25	0.73799	3.7437	4.6636	-0.4307	5.9547	5.569	2	2
-0.85	9.25	0.806658	3.7714	4.6188	-0.2355	5.4299	5.0942	2	2
-0.85	9.25	0.847844	3.7855	4.5874	-0.1261	5.1469	4.8343	2	2
-0.85	9.25	0.867609	3.7917	4.5716	-0.075	5.016	4.7146	2	2
-0.85	9.25	0.88061	3.7956	4.5604	-0.0418	4.9313	4.6363	2	2
-0.85	9.25	0.892076	3.799	4.5504	-0.0128	4.8576	4.5681	2	2
-0.85	9.25	0.904063	3.8023	4.54	0.017	4.7818	4.4977	2	2
-0.85	9.25	0.917348	3.8061	4.5284	0.0497	4.6986	4.4206	2	2
-0.85	9.25	0.931205	3.8099	4.5163	0.0835	4.6126	4.3407	2	2
-0.85	9.25	0.945107	3.8136	4.5042	0.1171	4.5275	4.2615	2	2
-0.85	9.25	0.95868	3.8173	4.4929	0.1492	4.4457	4.1858	2	2
-0.85	9.25	0.971727	3.8207	4.4824	0.1794	4.3688	4.1145	2	2
-0.85	9.25	0.984795	3.8241	4.4722	0.2091	4.293	4.0445	2	2
-0.85	9.25	0.997874	3.8277	4.4623	0.2387	4.2177	3.9748	2	2
-0.85	9.25	1.003093	3.8292	4.4588	0.2511	4.186	3.9457	2	2
-0.85	9.25	1.006863	3.8308	4.4562	0.262	4.1584	3.9206	2	2
-0.85	9.25	1.014408	3.8329	4.4506	0.2792	4.1141	3.8797	2	2
-0.85	9.25	1.022046	3.8351	4.4448	0.2966	4.0695	3.8386	2	2
-0.85	9.25	1.029746	3.8372	4.439	0.314	4.0249	3.7976	2	2
-0.85	9.25	1.037424	3.8392	4.4334	0.3313	3.9807	3.7572	2	2
-0.85	9.25	1.044706	3.8413	4.4283	0.3476	3.9389	3.7191	2	2
-0.85	9.25	1.052296	3.8434	4.4231	0.3645	3.8957	3.6798	2	2
-0.85	9.25	1.059184	3.8455	4.4186	0.38	3.8558	3.6436	2	2
-0.85	9.25	1.066076	3.8474	4.4141	0.3953	3.8165	3.6077	2	2
-0.85	9.25	1.072605	3.8493	4.4098	0.4099	3.7789	3.5733	2	2
-0.85	9.25	1.078905	3.8512	4.406	0.4239	3.7427	3.54	2	2
-0.85	9.25	1.085195	3.8531	4.4023	0.4379	3.7068	3.5071	2	2
-0.85	9.25	1.092011	3.8552	4.3985	0.4526	3.6688	3.4724	2	2
-0.85	9.25	1.122054	3.8627	4.3787	0.5133	3.5128	3.3294	2	2
-0.85	9.25	1.127715	3.8645	4.376	0.5258	3.4809	3.3009	2	2
-0.85	9.25	1.134248	3.8666	4.3732	0.5392	3.446	3.2698	2	2
-0.85	9.25	1.165759	3.874	4.3554	0.5977	3.2964	3.1336	2	2
-0.85	9.25	1.176749	3.8769	4.349	0.6192	3.2414	3.0838	2	2
-0.85	9.25	1.186018	3.8792	4.3431	0.6376	3.1941	3.041	2	2
-0.85	9.25	1.19385	3.8812	4.3385	0.6532	3.1541	3.0045	2	2
-0.85	9.25	1.200857	3.8831	4.3347	0.6672	3.1182	2.9718	2	2
-0.85	9.25	1.210118	3.8855	4.3287	0.6859	3.0701	2.9276	2	2
-0.85	9.25	1.215847	3.8871	4.3253	0.6976	3.04	2.8999	2	2
-0.85	9.25	1.221434	3.8886	4.322	0.7091	3.0104	2.8727	2	2
-0.85	9.25	1.22939	3.8904	4.3164	0.725	2.9698	2.8353	2	2
-0.85	9.25	1.235573	3.892	4.312	0.7375	2.9376	2.8057	2	2
-0.85	9.25	1.241554	3.8934	4.3077	0.7497	2.9066	2.7772	2	2
-0.85	9.25	1.247489	3.8948	4.3032	0.7618	2.8759	2.7489	2	2
-0.85	9.25	1.253323	3.8961	4.2986	0.7737	2.8459	2.7212	2	2
-0.85	9.25	1.257886	3.8973	4.2955	0.783	2.8222	2.6995	2	2
-0.85	9.25	1.262355	3.8983	4.2923	0.792	2.7991	2.6783	2	2
