# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:22 2017.
# Content of file: isochrone tables with [Fe/H] = 0.1.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 1.68 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
0.1	9.225	0.1	3.44519015671	5.242	-3.07727272727	15.9512181819	14.0788181818	1	1
0.1	9.225	0.11	3.46118623012	5.21327272727	-2.94	15.2070363636	13.4632909091	1	1
0.1	9.225	0.13	3.48045365869	5.164	-2.742	14.2789090909	12.6824727272	1	1
0.1	9.225	0.15	3.4941555452	5.124	-2.592	13.6104545454	12.1159636364	1	1
0.1	9.225	0.21495	3.5137	5.0484	-2.2716	12.4206	11.3448	2	1
0.1	9.225	0.270768	3.5215	4.9997	-2.0907	11.867	10.8219	2	2
0.1	9.225	0.304023	3.5258	4.9735	-1.9962	11.579	10.5497	2	2
0.1	9.225	0.314826	3.5271	4.9619	-1.9642	11.485	10.4603	2	2
0.1	9.225	0.321272	3.5278	4.9538	-1.9444	11.4278	10.4057	2	2
0.1	9.225	0.324252	3.5282	4.95	-1.9352	11.4004	10.3796	2	2
0.1	9.225	0.326628	3.5283	4.9466	-1.928	11.3808	10.3605	2	2
0.1	9.225	0.329387	3.5289	4.9439	-1.9196	11.3549	10.3362	2	2
0.1	9.225	0.33382	3.5293	4.9374	-1.9056	11.3153	10.2983	2	2
0.1	9.225	0.339064	3.53	4.9307	-1.8897	11.2694	10.2545	2	2
0.1	9.225	0.347313	3.5311	4.9224	-1.8672	11.202	10.1908	2	2
0.1	9.225	0.380793	3.5366	4.895	-1.7803	10.9287	9.9338	2	2
0.1	9.225	0.454794	3.5496	4.8359	-1.5885	10.3188	9.361	2	2
0.1	9.225	0.473124	3.5538	4.8185	-1.5372	10.1502	9.2027	2	2
0.1	9.225	0.4891	3.5577	4.8033	-1.4917	9.9976	9.0597	2	2
0.1	9.225	0.5028	3.5614	4.7905	-1.452	9.8616	8.9328	2	2
0.1	9.225	0.51447	3.5648	4.7797	-1.418	9.7421	8.8215	2	2
0.1	9.225	0.524098	3.5677	4.7711	-1.3896	9.6404	8.727	2	2
0.1	9.225	0.533297	3.5706	4.7629	-1.3622	9.542	8.6352	2	2
