# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:14 2017.
# Content of file: isochrone tables with [Fe/H] = -0.55.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 2.24 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
-0.55	9.35	0.1	3.47091458595	5.293	-3.02727272728	15.113790909	13.3271818182	1	1
-0.55	9.35	0.11	3.48955269258	5.25627272728	-2.873	14.2872727273	12.7128454546	1	1
-0.55	9.35	0.13	3.51036212159	5.202	-2.66263636364	13.3402818182	11.9529454546	1	1
-0.55	9.35	0.15	3.52256705941	5.162	-2.51209090909	12.7542909091	11.4539545454	1	1
-0.55	9.35	0.170122	3.5272	5.1273	-2.3963	12.3792	11.3657	2	1
-0.55	9.35	0.218402	3.5384	5.0707	-2.1863	11.7101	10.7316	2	1
-0.55	9.35	0.262661	3.547	5.0317	-2.0329	11.2267	10.2712	2	2
-0.55	9.35	0.289351	3.5514	5.0107	-1.9524	10.9778	10.0329	2	2
-0.55	9.35	0.3035	3.5536	4.997	-1.9089	10.8459	9.906	2	2
-0.55	9.35	0.311421	3.5548	4.9875	-1.8835	10.7701	9.8328	2	2
-0.55	9.35	0.31652	3.5556	4.9804	-1.8663	10.7197	9.7842	2	2
-0.55	9.35	0.320234	3.5561	4.9746	-1.8534	10.6819	9.7476	2	2
-0.55	9.35	0.323348	3.5565	4.9695	-1.8424	10.6498	9.7166	2	2
-0.55	9.35	0.326394	3.557	4.9647	-1.8316	10.6189	9.6866	2	2
-0.55	9.35	0.330034	3.5575	4.9597	-1.8198	10.584	9.6529	2	2
-0.55	9.35	0.33518	3.5582	4.9538	-1.8042	10.5379	9.6084	2	2
-0.55	9.35	0.345749	3.5599	4.9438	-1.7743	10.4463	9.5206	2	2
-0.55	9.35	0.408346	3.5724	4.8857	-1.5944	9.8764	8.978	2	2
-0.55	9.35	0.427519	3.5769	4.8638	-1.5336	9.6852	8.798	2	2
-0.55	9.35	0.438467	3.5798	4.8499	-1.4971	9.5674	8.6866	2	2
-0.55	9.35	0.451498	3.5835	4.834	-1.4541	9.4278	8.5556	2	2
-0.55	9.35	0.464866	3.5875	4.8177	-1.4091	9.2812	8.4187	2	2
-0.55	9.35	0.477718	3.5917	4.8023	-1.365	9.1369	8.2847	2	2
-0.55	9.35	0.489921	3.5959	4.7879	-1.3228	8.9982	8.1568	2	2
-0.55	9.35	0.501538	3.6002	4.7751	-1.2824	8.8651	8.0352	2	2
-0.55	9.35	0.511773	3.6043	4.7643	-1.2464	8.746	7.9269	2	2
-0.55	9.35	0.521188	3.6084	4.755	-1.2127	8.6333	7.8259	2	2
-0.55	9.35	0.530773	3.6129	4.7462	-1.1784	8.5168	7.7222	2	2
-0.55	9.35	0.541934	3.6181	4.7367	-1.1389	8.3818	7.6026	2	2
-0.55	9.35	0.556354	3.6252	4.7257	-1.0882	8.2075	7.4495	2	2
-0.55	9.35	0.574142	3.6347	4.7142	-1.025	7.9848	7.2564	2	2
-0.55	9.35	0.593475	3.6457	4.7039	-0.9563	7.7367	7.0455	2	2
-0.55	9.35	0.61043	3.6561	4.6972	-0.8952	7.5089	6.8562	2	2
-0.55	9.35	0.633158	3.6697	4.6903	-0.8182	7.2225	6.6218	2	2
-0.55	9.35	0.664759	3.6874	4.6795	-0.7153	6.8567	6.3204	2	2
-0.55	9.35	0.711726	3.7115	4.6607	-0.5711	6.3847	5.9201	2	2
-0.55	9.35	0.797462	3.7492	4.6166	-0.3273	5.6685	5.2899	2	2
-0.55	9.35	0.833519	3.7622	4.5937	-0.2331	5.4131	5.0586	2	2
-0.55	9.35	0.854505	3.7692	4.5779	-0.1784	5.2685	4.9265	2	2
-0.55	9.35	0.869503	3.7739	4.5654	-0.1395	5.1664	4.8328	2	2
-0.55	9.35	0.882653	3.7779	4.5539	-0.1054	5.0779	4.7511	2	2
-0.55	9.35	0.894862	3.7815	4.5432	-0.0741	4.9971	4.6767	2	2
-0.55	9.35	0.9062	3.7847	4.5329	-0.0454	4.9234	4.6087	2	2
-0.55	9.35	0.917056	3.7878	4.5231	-0.0181	4.8533	4.5438	2	2
-0.55	9.35	0.928096	3.7909	4.5129	0.0094	4.7825	4.478	2	2
-0.55	9.35	0.939598	3.794	4.5024	0.038	4.7093	4.4101	2	2
-0.55	9.35	0.951645	3.7972	4.4912	0.0677	4.6334	4.3396	2	2
-0.55	9.35	0.96409	3.8006	4.4797	0.0982	4.5556	4.2674	2	2
-0.55	9.35	0.971573	3.8026	4.4727	0.1163	4.5091	4.2242	2	2
-0.55	9.35	0.978892	3.8045	4.4658	0.1341	4.4639	4.1821	2	2
-0.55	9.35	0.98602	3.8063	4.459	0.1514	4.42	4.1412	2	2
-0.55	9.35	0.992938	3.808	4.4524	0.168	4.3777	4.1018	2	2
-0.55	9.35	0.99965	3.8097	4.4458	0.1841	4.3369	4.0637	2	2
-0.55	9.35	1.006176	3.8112	4.4392	0.1997	4.2973	4.0267	2	2
