# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:14 2017.
# Content of file: isochrone tables with [Fe/H] = -0.55.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 2.11 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
-0.55	9.325	0.1	3.47091458595	5.293	-3.02727272728	15.113790909	13.3271818182	1	1
-0.55	9.325	0.11	3.48955269258	5.25627272728	-2.873	14.2872727273	12.7128454546	1	1
-0.55	9.325	0.13	3.51036212159	5.202	-2.66263636364	13.3402818182	11.9529454546	1	1
-0.55	9.325	0.15	3.52256705941	5.162	-2.51209090909	12.7542909091	11.4539545454	1	1
-0.55	9.325	0.181764	3.53	5.1126	-2.3421	12.2061	11.2019	2	1
-0.55	9.325	0.23315	3.5414	5.0574	-2.1333	11.5422	10.572	2	1
-0.55	9.325	0.272948	3.5487	5.0245	-2.0026	11.1325	10.181	2	2
-0.55	9.325	0.295475	3.5524	5.0059	-1.9347	10.9236	9.9808	2	2
-0.55	9.325	0.307137	3.5542	4.9938	-1.8984	10.8141	9.8754	2	2
-0.55	9.325	0.313911	3.5552	4.9853	-1.8763	10.7487	9.8123	2	2
-0.55	9.325	0.318409	3.5559	4.9787	-1.861	10.7037	9.7688	2	2
-0.55	9.325	0.321831	3.5563	4.9732	-1.8489	10.6685	9.7348	2	2
-0.55	9.325	0.324902	3.5568	4.9682	-1.8381	10.637	9.7043	2	2
-0.55	9.325	0.328173	3.5573	4.9633	-1.8268	10.6043	9.6727	2	2
-0.55	9.325	0.332434	3.5579	4.9577	-1.8134	10.5646	9.6343	2	2
-0.55	9.325	0.339022	3.5588	4.9508	-1.794	10.5068	9.5785	2	2
