# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:21 2017.
# Content of file: isochrone tables with [Fe/H] = 0.0.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 5.96 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
0.0	9.775	0.1	3.4490854804	5.25	-3.07	15.8262727273	13.9640909091	1	1
0.0	9.775	0.11	3.46551801053	5.22	-2.93	15.0669090909	13.3479090909	1	1
0.0	9.775	0.13	3.48503703622	5.17	-2.73	14.1340909091	12.5697272727	1	1
0.0	9.775	0.15	3.49848595075	5.13	-2.58	13.4785454545	12.0140909091	1	1
0.0	9.775	0.176875	3.5112	5.0931	-2.4094	12.7726	11.6888	2	1
0.0	9.775	0.210751	3.5169	5.0498	-2.2674	12.3371	11.277	2	1
0.0	9.775	0.233593	3.5204	5.0235	-2.1821	12.0768	11.0306	2	1
0.0	9.775	0.253428	3.5233	5.0025	-2.1141	11.8688	10.8338	2	2
0.0	9.775	0.2758	3.5264	4.982	-2.0443	11.6564	10.6327	2	2
0.0	9.775	0.29289	3.5287	4.9663	-1.9934	11.5018	10.4864	2	2
0.0	9.775	0.30278	3.53	4.9561	-1.9635	11.4126	10.4014	2	2
0.0	9.775	0.30913	3.5308	4.9489	-1.944	11.355	10.3464	2	2
0.0	9.775	0.313891	3.5314	4.9429	-1.9291	11.3109	10.3043	2	2
0.0	9.775	0.317334	3.5318	4.9376	-1.9175	11.2782	10.2728	2	2
0.0	9.775	0.320122	3.5322	4.9338	-1.9085	11.252	10.2478	2	2
0.0	9.775	0.322531	3.5324	4.9306	-1.9009	11.2299	10.2266	2	2
0.0	9.775	0.324851	3.5327	4.9278	-1.8938	11.2091	10.2067	2	2
0.0	9.775	0.327683	3.5331	4.9245	-1.8851	11.1828	10.1818	2	2
0.0	9.775	0.331355	3.5335	4.9213	-1.8756	11.1552	10.1554	2	2
0.0	9.775	0.336896	3.5342	4.9181	-1.8625	11.1153	10.1174	2	2
0.0	9.775	0.356099	3.5371	4.9041	-1.814	10.9641	9.9746	2	2
0.0	9.775	0.465341	3.5567	4.8138	-1.5265	10.0471	9.1123	2	2
0.0	9.775	0.471397	3.5589	4.8054	-1.5052	9.9689	9.0375	2	2
0.0	9.775	0.487277	3.563	4.7893	-1.4584	9.8095	8.8883	2	2
0.0	9.775	0.501246	3.5669	4.7754	-1.4165	9.6644	8.7527	2	2
0.0	9.775	0.512446	3.5703	4.7645	-1.3824	9.5434	8.6398	2	2
0.0	9.775	0.522624	3.5736	4.7547	-1.3508	9.4306	8.5345	2	2
0.0	9.775	0.533698	3.5773	4.7443	-1.3164	9.3065	8.4186	2	2
0.0	9.775	0.54756	3.5822	4.7319	-1.2733	9.1488	8.2712	2	2
0.0	9.775	0.564215	3.5883	4.717	-1.2209	8.952	8.0871	2	2
0.0	9.775	0.582045	3.5953	4.7019	-1.1641	8.7407	7.8905	2	2
0.0	9.775	0.599508	3.6026	4.6882	-1.1085	8.5368	7.7019	2	2
0.0	9.775	0.616689	3.6103	4.6757	-1.0532	8.3269	7.5087	2	2
0.0	9.775	0.635368	3.619	4.6633	-0.9932	8.099	7.3006	2	2
0.0	9.775	0.654421	3.6283	4.652	-0.9315	7.8658	7.0912	2	2
0.0	9.775	0.674106	3.6384	4.6417	-0.8679	7.6183	6.873	2	2
0.0	9.775	0.696488	3.6501	4.6312	-0.7969	7.3419	6.6339	2	2
0.0	9.775	0.718623	3.6617	4.6217	-0.7272	7.0758	6.4094	2	2
0.0	9.775	0.740152	3.6728	4.6121	-0.6607	6.8293	6.2038	2	2
0.0	9.775	0.7603	3.6828	4.6022	-0.5991	6.6083	6.0198	2	2
0.0	9.775	0.776646	3.6906	4.5938	-0.5498	6.4369	5.8768	2	2
0.0	9.775	0.789616	3.6966	4.5865	-0.5117	6.3076	5.768	2	2
0.0	9.775	0.800638	3.7015	4.5803	-0.4799	6.2027	5.679	2	2
0.0	9.775	0.810718	3.7057	4.5743	-0.4516	6.1101	5.6	2	2
0.0	9.775	0.817778	3.7085	4.57	-0.4318	6.0469	5.5458	2	2
0.0	9.775	0.824736	3.7114	4.5657	-0.4124	5.9853	5.4929	2	2
0.0	9.775	0.83156	3.7141	4.5612	-0.3934	5.9253	5.4412	2	2
0.0	9.775	0.838236	3.7168	4.5567	-0.3746	5.867	5.3907	2	2
0.0	9.775	0.844741	3.7195	4.552	-0.3561	5.81	5.3413	2	2
0.0	9.775	0.851083	3.7221	4.5472	-0.3379	5.7545	5.2929	2	2
0.0	9.775	0.857297	3.7245	4.5425	-0.32	5.7004	5.2455	2	2
0.0	9.775	0.863405	3.727	4.5375	-0.3023	5.6476	5.1989	2	2
0.0	9.775	0.86942	3.7293	4.5326	-0.2849	5.596	5.1532	2	2
