# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:23 2017.
# Content of file: isochrone tables with [Fe/H] = 0.15.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 12.59 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
0.15	10.1	0.1	3.44324249486	5.238	-3.08090909091	16.0136909091	14.1361818182	1	1
0.15	10.1	0.11	3.45902033991	5.20990909091	-2.945	15.2771	13.5209818182	1	1
0.15	10.1	0.13	3.47816196993	5.161	-2.748	14.3513181818	12.7388454545	1	1
0.15	10.1	0.15	3.49199034243	5.121	-2.598	13.6764090909	12.1669	1	1
0.15	10.1	0.180659	3.5068	5.0705	-2.3952	12.8395	11.7335	2	1
0.15	10.1	0.197936	3.5096	5.0454	-2.3192	12.6094	11.5156	2	1
0.15	10.1	0.212903	3.5117	5.0243	-2.2579	12.4278	11.3428	2	1
0.15	10.1	0.227173	3.5137	5.0059	-2.2033	12.2649	11.188	2	1
0.15	10.1	0.241735	3.5157	4.9889	-2.1512	12.1087	11.0399	2	1
0.15	10.1	0.258873	3.518	4.971	-2.0941	11.9382	10.8782	2	2
0.15	10.1	0.28087	3.521	4.9502	-2.0264	11.7352	10.6859	2	2
0.15	10.1	0.297501	3.523	4.9364	-1.9795	11.5941	10.5524	2	2
0.15	10.1	0.306333	3.5241	4.9291	-1.9552	11.5216	10.4837	2	2
0.15	10.1	0.312444	3.5247	4.9249	-1.94	11.4769	10.4411	2	2
0.15	10.1	0.316952	3.5253	4.9219	-1.9284	11.4405	10.407	2	2
0.15	10.1	0.320232	3.5257	4.9183	-1.9188	11.4128	10.3805	2	2
0.15	10.1	0.322694	3.5261	4.9177	-1.9135	11.3957	10.3646	2	2
0.15	10.1	0.325003	3.5263	4.9155	-1.9071	11.3768	10.3467	2	2
0.15	10.1	0.327348	3.5266	4.9138	-1.9011	11.3585	10.3292	2	2
0.15	10.1	0.33042	3.527	4.9118	-1.8935	11.3353	10.3074	2	2
0.15	10.1	0.334755	3.5275	4.9095	-1.8834	11.3046	10.2786	2	2
0.15	10.1	0.340185	3.5282	4.9061	-1.8705	11.2659	10.2419	2	2
0.15	10.1	0.348755	3.5291	4.9006	-1.8503	11.2049	10.1842	2	2
0.15	10.1	0.416197	3.5399	4.8427	-1.6721	10.6517	9.6646	2	2
0.15	10.1	0.448334	3.5465	4.8135	-1.5847	10.3739	9.4044	2	2
0.15	10.1	0.470387	3.5516	4.7927	-1.5222	10.1699	9.2135	2	2
0.15	10.1	0.48842	3.5564	4.7751	-1.4695	9.9942	9.0492	2	2
0.15	10.1	0.503568	3.5607	4.7602	-1.4241	9.8397	8.9051	2	2
0.15	10.1	0.516241	3.5645	4.7478	-1.3855	9.7042	8.7793	2	2
0.15	10.1	0.527513	3.5683	4.737	-1.3505	9.579	8.663	2	2
0.15	10.1	0.538537	3.572	4.7263	-1.316	9.4531	8.5462	2	2
0.15	10.1	0.550166	3.576	4.7151	-1.2792	9.3173	8.42	2	2
0.15	10.1	0.56319	3.5807	4.7026	-1.2378	9.1614	8.275	2	2
0.15	10.1	0.577283	3.5862	4.6895	-1.1924	8.9854	8.1111	2	2
0.15	10.1	0.591683	3.592	4.6765	-1.1452	8.8	7.9389	2	2
0.15	10.1	0.605702	3.5981	4.6644	-1.0986	8.6186	7.7713	2	2
0.15	10.1	0.618942	3.6041	4.6535	-1.0541	8.4432	7.6094	2	2
0.15	10.1	0.631466	3.6101	4.6437	-1.0116	8.272	7.4514	2	2
0.15	10.1	0.643409	3.6159	4.6346	-0.9712	8.1099	7.3019	2	2
0.15	10.1	0.65478	3.6216	4.6264	-0.9326	7.9577	7.1623	2	2
0.15	10.1	0.661002	3.6247	4.6219	-0.9116	7.8748	7.0869	2	2
0.15	10.1	0.667136	3.6278	4.6176	-0.8907	7.7928	7.0126	2	2
0.15	10.1	0.673222	3.631	4.6136	-0.8701	7.7108	6.9387	2	2
0.15	10.1	0.679311	3.6343	4.6095	-0.8493	7.6282	6.8649	2	2
0.15	10.1	0.685467	3.6375	4.6055	-0.8282	7.5444	6.7902	2	2
0.15	10.1	0.691741	3.6408	4.6015	-0.8067	7.4588	6.7145	2	2
0.15	10.1	0.698128	3.6443	4.5975	-0.7848	7.372	6.638	2	2
0.15	10.1	0.704597	3.6479	4.5935	-0.7625	7.2843	6.5613	2	2
0.15	10.1	0.711072	3.6514	4.5893	-0.7402	7.198	6.4862	2	2
0.15	10.1	0.717464	3.655	4.5851	-0.7183	7.1134	6.4132	2	2
0.15	10.1	0.723678	3.6583	4.581	-0.697	7.0327	6.344	2	2
0.15	10.1	0.729662	3.6616	4.5771	-0.6764	6.9555	6.2784	2	2
0.15	10.1	0.735404	3.6647	4.5732	-0.6567	6.8827	6.2168	2	2
0.15	10.1	0.74093	3.6677	4.5694	-0.6378	6.813	6.158	2	2
0.15	10.1	0.746269	3.6705	4.5655	-0.6195	6.7468	6.1022	2	2
0.15	10.1	0.751457	3.6732	4.5617	-0.6016	6.6825	6.0483	2	2
0.15	10.1	0.756512	3.6758	4.5578	-0.5843	6.6209	5.9963	2	2
0.15	10.1	0.761457	3.6785	4.5539	-0.5671	6.5606	5.9458	2	2
0.15	10.1	0.766311	3.681	4.5498	-0.5503	6.502	5.8964	2	2
0.15	10.1	0.771089	3.6835	4.5456	-0.5337	6.4445	5.848	2	2
0.15	10.1	0.77582	3.6858	4.5415	-0.5171	6.3879	5.8003	2	2
0.15	10.1	0.780516	3.6882	4.5372	-0.5007	6.3321	5.753	2	2
0.15	10.1	0.785168	3.6905	4.5328	-0.4844	6.2773	5.7065	2	2
0.15	10.1	0.789772	3.6928	4.5283	-0.4683	6.2233	5.6607	2	2
0.15	10.1	0.794319	3.6951	4.5238	-0.4523	6.1705	5.6157	2	2
0.15	10.1	0.798817	3.6973	4.5191	-0.4365	6.1187	5.5714	2	2
0.15	10.1	0.803258	3.6994	4.5144	-0.4209	6.0678	5.5278	2	2
0.15	10.1	0.807646	3.7015	4.5096	-0.4055	6.0182	5.4851	2	2
0.15	10.1	0.811978	3.7034	4.5047	-0.3903	5.9698	5.4433	2	2
0.15	10.1	0.816254	3.7053	4.4998	-0.3754	5.9224	5.4024	2	2
0.15	10.1	0.82061	3.7072	4.4947	-0.3603	5.875	5.3612	2	2
0.15	10.1	0.824891	3.7091	4.4895	-0.3455	5.8288	5.3208	2	2
