# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:09 2017.
# Content of file: isochrone tables with [Fe/H] = -1.0.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 5.62 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
-1.0	9.75	0.1	3.4920869698	5.32	-2.97	14.324	12.7577272727	1	1
-1.0	9.75	0.11	3.51093471241	5.28	-2.81	13.5762727273	12.1894545455	1	1
-1.0	9.75	0.13	3.53203590116	5.22	-2.59636363636	12.7128181818	11.4754545455	1	1
-1.0	9.75	0.15	3.54442878778	5.18	-2.44090909091	12.1719090909	10.997	1	1
-1.0	9.75	0.187465	3.5506	5.1178	-2.251	11.6782	10.7182	2	1
-1.0	9.75	0.211432	3.5573	5.0868	-2.141	11.3359	10.3925	2	1
-1.0	9.75	0.229211	3.5612	5.065	-2.0685	11.1167	10.1831	2	1
-1.0	9.75	0.244903	3.5644	5.047	-2.0094	10.9405	10.0145	2	1
-1.0	9.75	0.261764	3.5673	5.0298	-1.9514	10.7684	9.85	2	2
-1.0	9.75	0.279332	3.5701	5.0135	-1.8958	10.6045	9.6934	2	2
-1.0	9.75	0.293709	3.5722	4.9999	-1.8516	10.4753	9.57	2	2
-1.0	9.75	0.30362	3.5737	4.9896	-1.8211	10.3865	9.4852	2	2
-1.0	9.75	0.310606	3.5747	4.9821	-1.7998	10.325	9.4265	2	2
-1.0	9.75	0.315826	3.5754	4.9764	-1.7842	10.2798	9.3831	2	2
-1.0	9.75	0.319938	3.5759	4.9719	-1.7718	10.2444	9.3493	2	2
-1.0	9.75	0.32349	3.5764	4.9682	-1.7613	10.2139	9.3203	2	2
-1.0	9.75	0.327161	3.5769	4.9646	-1.7509	10.1838	9.2915	2	2
-1.0	9.75	0.332113	3.5776	4.9612	-1.7382	10.1463	9.2559	2	2
-1.0	9.75	0.339512	3.5786	4.9562	-1.7196	10.0912	9.2038	2	2
-1.0	9.75	0.358237	3.5816	4.9408	-1.6689	9.9397	9.0612	2	2
-1.0	9.75	0.406457	3.592	4.8878	-1.5198	9.4859	8.64	2	2
