# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:13 2017.
# Content of file: isochrone tables with [Fe/H] = -0.7.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 6.68 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
-0.7	9.825	0.1	3.47797204724	5.302	-3.00818181818	14.8505272727	13.1373636364	1	1
-0.7	9.825	0.11	3.49668003252	5.26418181818	-2.852	14.0502727273	12.5383818182	1	1
-0.7	9.825	0.13	3.51758671478	5.208	-2.64054545454	13.1311272727	11.7937818182	1	1
-0.7	9.825	0.15	3.5298543022	5.168	-2.48836363636	12.5601636364	11.3016363636	1	1
-0.7	9.825	0.173041	3.5335	5.1256	-2.3624	12.1884	11.1915	2	1
-0.7	9.825	0.201328	3.5414	5.0873	-2.2266	11.7532	10.779	2	1
-0.7	9.825	0.222232	3.5463	5.0611	-2.1378	11.475	10.5139	2	1
-0.7	9.825	0.238723	3.5498	5.0419	-2.0738	11.2768	10.3245	2	1
-0.7	9.825	0.25416	3.5527	5.0255	-2.0187	11.1077	10.1626	2	2
-0.7	9.825	0.269807	3.5554	5.0104	-1.9667	10.9501	10.0113	2	2
-0.7	9.825	0.284983	3.5578	4.9963	-1.919	10.8063	9.8732	2	2
-0.7	9.825	0.297239	3.5598	4.9843	-1.8811	10.6932	9.7646	2	2
-0.7	9.825	0.306102	3.5611	4.9752	-1.854	10.6126	9.6871	2	2
-0.7	9.825	0.31241	3.562	4.9685	-1.8347	10.5562	9.6328	2	2
-0.7	9.825	0.317236	3.5626	4.9634	-1.8203	10.5134	9.5916	2	2
-0.7	9.825	0.321147	3.5631	4.9593	-1.8086	10.4789	9.5585	2	2
-0.7	9.825	0.32471	3.5636	4.9556	-1.7981	10.448	9.5288	2	2
-0.7	9.825	0.328813	3.5643	4.9524	-1.787	10.4146	9.4967	2	2
-0.7	9.825	0.333826	3.565	4.9485	-1.7737	10.3745	9.4584	2	2
-0.7	9.825	0.340847	3.566	4.9433	-1.7554	10.3187	9.4049	2	2
-0.7	9.825	0.364323	3.5704	4.9216	-1.6879	10.1085	9.2042	2	2
-0.7	9.825	0.404741	3.5788	4.8789	-1.5651	9.727	8.8443	2	2
-0.7	9.825	0.424558	3.5838	4.8545	-1.5002	9.5235	8.6538	2	2
-0.7	9.825	0.436973	3.5872	4.8384	-1.4576	9.3881	8.5274	2	2
-0.7	9.825	0.449931	3.5911	4.8217	-1.4127	9.2437	8.3936	2	2
-0.7	9.825	0.463377	3.5955	4.8045	-1.3651	9.09	8.2519	2	2
-0.7	9.825	0.476288	3.6001	4.7882	-1.3183	8.938	8.1128	2	2
-0.7	9.825	0.488204	3.6048	4.7737	-1.2743	8.7945	7.9829	2	2
-0.7	9.825	0.499265	3.6094	4.7609	-1.2331	8.6593	7.8614	2	2
-0.7	9.825	0.509814	3.6143	4.7493	-1.1932	8.5273	7.744	2	2
-0.7	9.825	0.520842	3.62	4.7384	-1.1507	8.3842	7.6185	2	2
-0.7	9.825	0.532638	3.6263	4.7281	-1.105	8.2268	7.4818	2	2
-0.7	9.825	0.545586	3.6335	4.7179	-1.0554	8.0546	7.3334	2	2
-0.7	9.825	0.559115	3.6414	4.7086	-1.0037	7.8726	7.1778	2	2
-0.7	9.825	0.572475	3.6497	4.7009	-0.9526	7.6886	7.0227	2	2
-0.7	9.825	0.585411	3.658	4.6945	-0.9034	7.509	6.8733	2	2
-0.7	9.825	0.598098	3.6663	4.689	-0.8556	7.3337	6.7292	2	2
-0.7	9.825	0.61125	3.6749	4.6836	-0.8065	7.1557	6.5831	2	2
-0.7	9.825	0.625354	3.6838	4.6775	-0.7546	6.9727	6.4324	2	2
-0.7	9.825	0.64001	3.6928	4.6701	-0.7015	6.7918	6.2814	2	2
