# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:08 2017.
# Content of file: isochrone tables with [Fe/H] = -1.1.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 1.68 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
-1.1	9.225	0.1	3.49629725238	5.32666666667	-2.95757575758	14.1832424242	12.6568484848	1	1
-1.1	9.225	0.11	3.51525255193	5.28333333333	-2.79666666667	13.4546363637	12.0983333334	1	1
-1.1	9.225	0.13	3.53642961651	5.22333333333	-2.58242424242	12.6104848485	11.3934545455	1	1
-1.1	9.225	0.15	3.54924684291	5.18333333333	-2.42606060606	12.0712727273	10.9133030303	1	1
-1.1	9.225	0.202797	3.5587	5.1097	-2.1775	11.4074	10.4649	2	1
-1.1	9.225	0.246522	3.5683	5.067	-2.0118	10.9062	9.9885	2	1
-1.1	9.225	0.283406	3.5743	5.0366	-1.8958	10.5623	9.6617	2	2
-1.1	9.225	0.302251	3.5772	5.0195	-1.8392	10.3967	9.5045	2	2
-1.1	9.225	0.311059	3.5785	5.0093	-1.8114	10.3167	9.4284	2	2
-1.1	9.225	0.316205	3.5792	5.0022	-1.7943	10.2679	9.3817	2	2
-1.1	9.225	0.319756	3.5796	4.9964	-1.7817	10.2326	9.3479	2	2
-1.1	9.225	0.322897	3.58	4.9909	-1.7705	10.2009	9.3176	2	2
-1.1	9.225	0.325971	3.5804	4.9859	-1.7597	10.1706	9.2885	2	2
-1.1	9.225	0.329554	3.5809	4.9806	-1.7477	10.1368	9.2563	2	2
-1.1	9.225	0.33415	3.5815	4.9749	-1.7336	10.0971	9.2185	2	2
-1.1	9.225	0.354001	3.5851	4.9547	-1.6753	9.9231	9.0562	2	2
-1.1	9.225	0.404913	3.5954	4.9048	-1.5255	9.4683	8.6345	2	2
