# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:22 2017.
# Content of file: isochrone tables with [Fe/H] = 0.05.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 2.66 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
0.05	9.425	0.1	3.44713781855	5.246	-3.07363636364	15.8887454546	14.0214545455	1	1
0.05	9.425	0.11	3.46335212032	5.21663636364	-2.935	15.1369727273	13.4056	1	1
0.05	9.425	0.13	3.48274534746	5.167	-2.736	14.2065	12.6261	1	1
0.05	9.425	0.15	3.49632074798	5.127	-2.586	13.5445	12.0650272727	1	1
0.05	9.425	0.207657	3.5146	5.0568	-2.2902	12.4393	11.3689	2	1
0.05	9.425	0.252697	3.5212	5.0132	-2.1349	11.9628	10.9187	2	2
0.05	9.425	0.288385	3.526	4.9841	-2.0289	11.6382	10.6122	2	2
0.05	9.425	0.303553	3.528	4.97	-1.9845	11.5046	10.4854	2	2
0.05	9.425	0.310905	3.5289	4.9612	-1.9616	11.4371	10.4212	2	2
0.05	9.425	0.315616	3.5294	4.9543	-1.9461	11.3928	10.3787	2	2
0.05	9.425	0.31862	3.5298	4.9495	-1.9356	11.3628	10.3499	2	2
0.05	9.425	0.320933	3.5301	4.9454	-1.9273	11.3392	10.3274	2	2
0.05	9.425	0.322695	3.5302	4.9418	-1.9206	11.3202	10.309	2	2
0.05	9.425	0.324087	3.5304	4.9388	-1.915	11.3045	10.2938	2	2
0.05	9.425	0.325833	3.5306	4.9355	-1.9084	11.2864	10.2763	2	2
0.05	9.425	0.32849	3.5309	4.9314	-1.8994	11.2604	10.2514	2	2
0.05	9.425	0.375227	3.5384	4.8938	-1.7781	10.8789	9.8915	2	2
0.05	9.425	0.462363	3.5538	4.8239	-1.552	10.1563	9.2121	2	2
0.05	9.425	0.47944	3.558	4.8071	-1.5031	9.9937	9.0591	2	2
0.05	9.425	0.494466	3.5619	4.7926	-1.4597	9.845	8.9202	2	2
0.05	9.425	0.50755	3.5656	4.7803	-1.4213	9.7115	8.7956	2	2
0.05	9.425	0.518087	3.5688	4.7707	-1.39	9.5997	8.6916	2	2
0.05	9.425	0.527903	3.5719	4.7621	-1.3605	9.493	8.5922	2	2
0.05	9.425	0.538912	3.5756	4.7526	-1.3274	9.3718	8.4792	2	2
0.05	9.425	0.553089	3.5804	4.7405	-1.2848	9.2142	8.332	2	2
0.05	9.425	0.570689	3.5867	4.7258	-1.2311	9.0122	8.1429	2	2
0.05	9.425	0.591574	3.5949	4.7096	-1.1671	8.7696	7.9173	2	2
0.05	9.425	0.61319	3.6038	4.6948	-1.1011	8.519	7.6862	2	2
0.05	9.425	0.627399	3.6099	4.684	-1.0552	8.3466	7.5253	2	2
0.05	9.425	0.644683	3.6179	4.6726	-0.9993	8.1332	7.3274	2	2
0.05	9.425	0.684921	3.6369	4.654	-0.8787	7.6608	6.908	2	2
0.05	9.425	0.841875	3.7073	4.5918	-0.4461	6.0907	5.5815	2	2
0.05	9.425	0.859466	3.7142	4.5832	-0.4015	5.9465	5.4585	2	2
0.05	9.425	0.874043	3.7197	4.5758	-0.3641	5.8291	5.3575	2	2
0.05	9.425	0.887304	3.7248	4.5686	-0.3302	5.7248	5.2669	2	2
0.05	9.425	0.900487	3.7295	4.561	-0.2969	5.6247	5.1789	2	2
0.05	9.425	0.913776	3.7342	4.5529	-0.2639	5.5271	5.0927	2	2
0.05	9.425	0.926807	3.7386	4.5447	-0.2319	5.4337	5.0098	2	2
0.05	9.425	0.93959	3.7428	4.5362	-0.2007	5.3442	4.9302	2	2
