# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:26 2017.
# Content of file: isochrone tables with [Fe/H] = 0.35.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 4.47 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
0.35	9.65	0.1	3.43545184748	5.222	-3.09545454545	16.2635818183	14.3656363636	1	1
0.35	9.65	0.11	3.45035677908	5.19645454545	-2.965	15.5573545454	13.7517454545	1	1
0.35	9.65	0.13	3.46899521487	5.149	-2.772	14.6409545455	12.9643363636	1	1
0.35	9.65	0.15	3.48332953134	5.109	-2.622	13.9402272727	12.3706454546	1	1
0.35	9.65	0.194646	3.5014	5.0496	-2.3637	12.8828	11.7508	2	1
0.35	9.65	0.228802	3.506	5.0102	-2.2357	12.5022	11.3889	2	1
0.35	9.65	0.253557	3.5091	4.985	-2.1531	12.2568	11.1558	2	2
0.35	9.65	0.276309	3.5119	4.9631	-2.0828	12.0496	10.959	2	2
0.35	9.65	0.293876	3.514	4.9482	-2.0325	11.9007	10.8176	2	2
0.35	9.65	0.305487	3.5154	4.9385	-2.0007	11.8064	10.7283	2	2
0.35	9.65	0.31336	3.5162	4.931	-1.9788	11.7428	10.6675	2	2
0.35	9.65	0.319415	3.5169	4.924	-1.9608	11.6918	10.6188	2	2
0.35	9.65	0.323841	3.5174	4.9193	-1.9482	11.6557	10.5843	2	2
0.35	9.65	0.325419	3.517	4.9211	-1.949	11.6603	10.5881	2	2
0.35	9.65	0.327069	3.5179	4.9254	-1.9476	11.6466	10.5774	2	2
0.35	9.65	0.330801	3.5182	4.9201	-1.9361	11.6152	10.547	2	2
0.35	9.65	0.335025	3.5186	4.9136	-1.9227	11.5786	10.5117	2	2
0.35	9.65	0.340324	3.5193	4.9085	-1.9083	11.5372	10.4723	2	2
0.35	9.65	0.34201	3.5183	4.9121	-1.9135	11.559	10.491	2	2
0.35	9.65	0.473025	3.5411	4.8048	-1.5735	10.5079	9.51	2	2
0.35	9.65	0.497785	3.5472	4.7847	-1.5059	10.2881	9.3068	2	2
0.35	9.65	0.509537	3.5511	4.7753	-1.4721	10.1717	9.1992	2	2
0.35	9.65	0.522799	3.5551	4.7642	-1.4341	10.0434	9.0803	2	2
0.35	9.65	0.534531	3.5588	4.7544	-1.3998	9.9255	8.9715	2	2
0.35	9.65	0.545967	3.5625	4.7448	-1.3663	9.8071	8.8623	2	2
0.35	9.65	0.558194	3.5665	4.7346	-1.3304	9.6779	8.7435	2	2
0.35	9.65	0.572582	3.5715	4.7231	-1.2881	9.5222	8.6002	2	2
0.35	9.65	0.590191	3.5778	4.7097	-1.2364	9.3226	8.4171	2	2
0.35	9.65	0.611602	3.5858	4.6944	-1.1736	9.0629	8.1786	2	2
0.35	9.65	0.636582	3.5955	4.6775	-1.1004	8.7503	7.8915	2	2
0.35	9.65	0.656868	3.6035	4.6638	-1.0408	8.5009	7.6613	2	2
0.35	9.65	0.687195	3.6172	4.6484	-0.9512	8.1074	7.2987	2	2
0.35	9.65	0.771957	3.6552	4.6094	-0.7092	7.1047	6.392	2	2
0.35	9.65	0.797863	3.6662	4.5979	-0.6398	6.8413	6.1651	2	2
0.35	9.65	0.81414	3.6732	4.5906	-0.5956	6.6783	6.0269	2	2
0.35	9.65	0.826353	3.6786	4.5848	-0.562	6.5564	5.9243	2	2
0.35	9.65	0.837344	3.6834	4.5793	-0.5317	6.4486	5.8338	2	2
0.35	9.65	0.848105	3.6879	4.5737	-0.5023	6.3456	5.7474	2	2
0.35	9.65	0.858967	3.6923	4.5678	-0.4732	6.2451	5.663	2	2
0.35	9.65	0.869649	3.6966	4.5618	-0.4446	6.1484	5.5814	2	2
0.35	9.65	0.880406	3.7009	4.5554	-0.4161	6.0532	5.5007	2	2
0.35	9.65	0.891299	3.7051	4.5488	-0.3874	5.9587	5.4201	2	2
0.35	9.65	0.902381	3.7091	4.5417	-0.3584	5.8647	5.3395	2	2
0.35	9.65	0.91359	3.7132	4.5342	-0.3291	5.7717	5.2598	2	2
0.35	9.65	0.924927	3.7173	4.5262	-0.2998	5.6796	5.18	2	2
0.35	9.65	0.931852	3.7196	4.5212	-0.2819	5.6242	5.132	2	2
0.35	9.65	0.938655	3.722	4.516	-0.2644	5.5706	5.0849	2	2
0.35	9.65	0.945323	3.7242	4.5109	-0.2473	5.5186	5.0392	2	2
0.35	9.65	0.951885	3.7263	4.5058	-0.2304	5.4682	4.9945	2	2
0.35	9.65	0.958339	3.7284	4.5006	-0.214	5.419	4.951	2	2
0.35	9.65	0.96468	3.7304	4.4952	-0.1979	5.3713	4.9084	2	2
0.35	9.65	0.970897	3.7324	4.49	-0.182	5.3249	4.8669	2	2
0.35	9.65	0.977002	3.7342	4.4846	-0.1666	5.2797	4.8266	2	2
0.35	9.65	0.982981	3.736	4.4793	-0.1513	5.2358	4.7873	2	2
0.35	9.65	0.988839	3.7377	4.4739	-0.1366	5.193	4.749	2	2
0.35	9.65	0.994536	3.7393	4.4686	-0.1221	5.1517	4.7119	2	2
0.35	9.65	1.000068	3.7409	4.4633	-0.1083	5.1119	4.676	2	2
0.35	9.65	1.005371	3.7424	4.4581	-0.0948	5.0739	4.6417	2	2
0.35	9.65	1.01017	3.7436	4.4532	-0.0827	5.0394	4.6104	2	2
0.35	9.65	1.014582	3.7449	4.4486	-0.0713	5.0076	4.5815	2	2
0.35	9.65	1.018779	3.746	4.4441	-0.0605	4.9772	4.5538	2	2
0.35	9.65	1.022969	3.7472	4.4395	-0.0496	4.947	4.5263	2	2
0.35	9.65	1.027386	3.7482	4.4345	-0.0383	4.9156	4.4976	2	2
0.35	9.65	1.032358	3.7495	4.4291	-0.026	4.8813	4.4662	2	2
0.35	9.65	1.039271	3.7512	4.4217	-0.0092	4.8353	4.4239	2	2
0.35	9.65	1.048335	3.7531	4.4118	0.0124	4.7761	4.3695	2	2
0.35	9.65	1.057382	3.755	4.4023	0.0333	4.7191	4.3171	2	2
0.35	9.65	1.07519	3.7587	4.3823	0.0752	4.6057	4.2121	2	2
0.35	9.65	1.100501	3.7633	4.3502	0.1362	4.4427	4.06	2	2
0.35	9.65	1.114271	3.7654	4.334	0.1661	4.3633	3.9855	2	2
0.35	9.65	1.122378	3.7664	4.3237	0.1836	4.3176	3.9421	2	2
0.35	9.65	1.125981	3.7667	4.318	0.1915	4.298	3.923	2	2
0.35	9.65	1.137215	3.7674	4.3022	0.2145	4.2387	3.8655	2	2
0.35	9.65	1.147688	3.768	4.288	0.2353	4.1859	3.8142	2	2
0.35	9.65	1.165762	3.7689	4.2634	0.2698	4.0978	3.728	2	2
0.35	9.65	1.192696	3.7693	4.224	0.3209	3.9691	3.6008	2	2
0.35	9.65	1.209832	3.7694	4.1992	0.3525	3.8901	3.5224	2	3
0.35	9.65	1.21901	3.7693	4.1855	0.3689	3.8491	3.4812	2	3
0.35	9.65	1.226467	3.769	4.1737	0.3823	3.8161	3.4478	2	3
0.35	9.65	1.233259	3.7687	4.1626	0.3945	3.7863	3.4174	2	3
0.35	9.65	1.239868	3.7684	4.1518	0.4062	3.7575	3.388	2	3
0.35	9.65	1.24661	3.768	4.1405	0.4181	3.7285	3.3584	2	3
0.35	9.65	1.253717	3.7675	4.1286	0.4305	3.6984	3.3274	2	3
0.35	9.65	1.261465	3.7668	4.1155	0.4441	3.6657	3.2936	2	3
0.35	9.65	1.269692	3.7661	4.1012	0.4586	3.6307	3.2575	2	3
0.35	9.65	1.277934	3.7654	4.0866	0.4731	3.5961	3.2214	2	3
0.35	9.65	1.285762	3.7646	4.0726	0.4864	3.5641	3.1878	2	3
0.35	9.65	1.292936	3.7638	4.0597	0.4984	3.5361	3.1582	2	3
0.35	9.65	1.299284	3.763	4.0483	0.5084	3.5127	3.133	2	3
0.35	9.65	1.304731	3.7621	4.0384	0.5168	3.4937	3.1122	2	3
0.35	9.65	1.309526	3.7613	4.0294	0.5241	3.4773	3.0942	2	3
0.35	9.65	1.313875	3.7605	4.0212	0.5306	3.4627	3.0779	2	3
0.35	9.65	1.317835	3.7598	4.0134	0.5367	3.4488	3.0627	2	3
0.35	9.65	1.321335	3.7591	4.0062	0.5426	3.4357	3.0482	2	3
0.35	9.65	1.324267	3.7586	3.9999	0.548	3.4232	3.0346	2	3
0.35	9.65	1.326591	3.7583	3.9946	0.553	3.4114	3.0223	2	3
0.35	9.65	1.328414	3.7582	3.9901	0.5575	3.4005	3.0111	2	3
0.35	9.65	1.329874	3.7582	3.9864	0.5616	3.3902	3.0008	2	3
0.35	9.65	1.33104	3.7582	3.9832	0.5654	3.3806	2.9915	2	3
0.35	9.65	1.331971	3.7584	3.9806	0.5689	3.3713	2.9826	2	3
0.35	9.65	1.332691	3.7585	3.9782	0.5721	3.363	2.9746	2	3
0.35	9.65	1.333301	3.7587	3.9761	0.5752	3.3547	2.9667	2	3
0.35	9.65	1.333841	3.759	3.9743	0.5783	3.3465	2.959	2	3
0.35	9.65	1.334294	3.7592	3.9724	0.5812	3.3386	2.9518	2	3
0.35	9.65	1.334687	3.7595	3.9708	0.584	3.3308	2.9447	2	3
0.35	9.65	1.334919	3.7597	3.9698	0.5859	3.3258	2.9401	2	3
0.35	9.65	1.335149	3.7599	3.9687	0.5879	3.3202	2.935	2	3
0.35	9.65	1.33538	3.7601	3.9676	0.5899	3.3147	2.93	2	3
0.35	9.65	1.335609	3.7604	3.9663	0.5923	3.3082	2.9239	2	3
0.35	9.65	1.335837	3.7606	3.9651	0.5947	3.3016	2.9181	2	3
0.35	9.65	1.336064	3.7611	3.9638	0.5974	3.294	2.9112	2	3
0.35	9.65	1.336287	3.7613	3.9624	0.6002	3.2864	2.9043	2	3
0.35	9.65	1.33651	3.7618	3.961	0.6034	3.2775	2.8965	2	3
0.35	9.65	1.336725	3.7623	3.9594	0.6067	3.2682	2.8881	2	3
0.35	9.65	1.336931	3.7628	3.9576	0.6106	3.2572	2.8782	2	3
0.35	9.65	1.337127	3.7633	3.9557	0.6148	3.2454	2.8677	2	3
0.35	9.65	1.337312	3.7639	3.9536	0.6195	3.2326	2.8562	2	3
0.35	9.65	1.337485	3.7646	3.9514	0.6244	3.2189	2.844	2	3
0.35	9.65	1.337642	3.7653	3.949	0.6296	3.2043	2.8309	2	3
0.35	9.65	1.337783	3.766	3.9465	0.6351	3.1889	2.8171	2	3
0.35	9.65	1.33791	3.7668	3.9439	0.6409	3.1731	2.8029	2	3
0.35	9.65	1.338023	3.7676	3.9411	0.6469	3.1567	2.7882	2	3
0.35	9.65	1.338119	3.7683	3.9381	0.653	3.1399	2.7731	2	3
0.35	9.65	1.338203	3.7691	3.9349	0.6592	3.1229	2.7576	2	3
0.35	9.65	1.338274	3.7698	3.9315	0.6656	3.1056	2.7421	2	3
0.35	9.65	1.338335	3.7706	3.9281	0.6719	3.0883	2.7262	2	3
0.35	9.65	1.338388	3.7713	3.9244	0.6784	3.0709	2.7103	2	3
0.35	9.65	1.338435	3.7719	3.9208	0.6848	3.0535	2.6943	2	3
0.35	9.65	1.338475	3.7726	3.9169	0.6912	3.036	2.6782	2	3
0.35	9.65	1.338508	3.7732	3.9126	0.6978	3.0181	2.6618	2	3
0.35	9.65	1.338541	3.7738	3.9086	0.7045	3.0001	2.6452	2	3
0.35	9.65	1.33857	3.7744	3.9045	0.711	2.9827	2.6291	2	3
0.35	9.65	1.338599	3.775	3.9003	0.7176	2.9649	2.6126	2	3
0.35	9.65	1.338641	3.7754	3.8961	0.7235	2.9496	2.5982	2	3
0.35	9.65	1.338697	3.7751	3.8973	0.7214	2.9552	2.6035	2	3
0.35	9.65	1.338707	3.7746	3.9027	0.7135	2.9761	2.6229	2	3
0.35	9.65	1.338708	3.773	3.9105	0.6997	3.0136	2.6571	2	3
0.35	9.65	1.338728	3.7715	3.909	0.6951	3.0284	2.6687	2	3
0.35	9.65	1.338787	3.7687	3.8969	0.6962	3.0307	2.6653	2	3
0.35	9.65	1.338856	3.7668	3.8818	0.7034	3.0166	2.6473	2	3
0.35	9.65	1.338978	3.7647	3.8681	0.709	3.0063	2.6328	2	3
0.35	9.65	1.339187	3.7626	3.8569	0.7119	3.0037	2.6258	2	3
0.35	9.65	1.339436	3.7612	3.8505	0.7124	3.0057	2.6245	2	3
0.35	9.65	1.339682	3.7602	3.8467	0.7123	3.0078	2.6247	2	3
0.35	9.65	1.339927	3.7594	3.8436	0.7124	3.0097	2.6247	2	3
0.35	9.65	1.340171	3.7587	3.8408	0.7124	3.0112	2.6247	2	3
0.35	9.65	1.340415	3.7579	3.8381	0.7124	3.0126	2.6247	2	3
0.35	9.65	1.340661	3.7574	3.8356	0.7124	3.0141	2.6248	2	3
0.35	9.65	1.340907	3.7567	3.8331	0.7124	3.0159	2.625	2	3
