# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:17 2017.
# Content of file: isochrone tables with [Fe/H] = -0.4.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 9.44 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
-0.4	9.975	0.1	3.46466677517	5.282	-3.04090909091	15.3264909091	13.5051818182	1	1
-0.4	9.975	0.11	3.48284513219	5.24690909091	-2.89	14.5064	12.8863818182	1	1
-0.4	9.975	0.13	3.50337054633	5.194	-2.682	13.5548181818	12.1187454545	1	1
-0.4	9.975	0.15	3.51580757293	5.154	-2.532	12.9509090909	11.6066	1	1
-0.4	9.975	0.189618	3.527	5.0881	-2.3111	12.2013	11.1872	2	1
-0.4	9.975	0.209126	3.5309	5.061	-2.2256	11.9342	10.9336	2	1
-0.4	9.975	0.225503	3.5342	5.0399	-2.1585	11.7245	10.7343	2	1
-0.4	9.975	0.240541	3.5371	5.0222	-2.1011	11.5447	10.5634	2	1
-0.4	9.975	0.255861	3.5398	5.0057	-2.047	11.3771	10.4037	2	2
-0.4	9.975	0.272539	3.5425	4.99	-1.993	11.2104	10.2444	2	2
-0.4	9.975	0.2873	3.5449	4.9768	-1.9475	11.0708	10.1107	2	2
-0.4	9.975	0.298548	3.5467	4.966	-1.9131	10.9662	10.0101	2	2
-0.4	9.975	0.306629	3.5478	4.958	-1.8886	10.892	9.9388	2	2
-0.4	9.975	0.312698	3.5487	4.9522	-1.8707	10.8381	9.887	2	2
-0.4	9.975	0.317388	3.5495	4.9474	-1.8568	10.7958	9.8464	2	2
-0.4	9.975	0.32118	3.55	4.9437	-1.846	10.7636	9.8152	2	2
-0.4	9.975	0.324405	3.5504	4.9408	-1.8368	10.7358	9.7884	2	2
-0.4	9.975	0.327776	3.5509	4.9376	-1.8271	10.7065	9.7604	2	2
-0.4	9.975	0.331732	3.5515	4.9348	-1.8167	10.6744	9.7297	2	2
-0.4	9.975	0.336677	3.5522	4.931	-1.8038	10.6348	9.6916	2	2
-0.4	9.975	0.3432	3.5532	4.9265	-1.787	10.583	9.642	2	2
-0.4	9.975	0.374493	3.5584	4.9002	-1.7032	10.3202	9.3935	2	2
-0.4	9.975	0.415701	3.5674	4.8557	-1.5762	9.9145	9.0061	2	2
-0.4	9.975	0.431903	3.5713	4.8368	-1.5252	9.7487	8.8486	2	2
-0.4	9.975	0.445398	3.5748	4.8203	-1.4813	9.6057	8.7134	2	2
-0.4	9.975	0.458583	3.5785	4.8043	-1.4378	9.4621	8.5781	2	2
-0.4	9.975	0.471349	3.5824	4.7887	-1.3945	9.3184	8.4434	2	2
-0.4	9.975	0.483631	3.5865	4.7736	-1.3519	9.176	8.3105	2	2
-0.4	9.975	0.495604	3.5907	4.759	-1.3097	9.0356	8.1801	2	2
-0.4	9.975	0.507126	3.595	4.7457	-1.269	8.8994	8.0541	2	2
-0.4	9.975	0.518498	3.5995	4.7331	-1.2288	8.7629	7.9285	2	2
-0.4	9.975	0.529577	3.6042	4.7213	-1.1892	8.6269	7.8039	2	2
-0.4	9.975	0.540914	3.6093	4.7098	-1.1482	8.4874	7.677	2	2
-0.4	9.975	0.552899	3.6151	4.6983	-1.1045	8.3369	7.5416	2	2
-0.4	9.975	0.566004	3.6217	4.6869	-1.0561	8.1675	7.3909	2	2
-0.4	9.975	0.579935	3.6295	4.6764	-1.0039	7.9819	7.228	2	2
-0.4	9.975	0.594007	3.6379	4.6676	-0.9508	7.7879	7.0611	2	2
-0.4	9.975	0.607613	3.6464	4.6598	-0.8995	7.5965	6.8993	2	2
-0.4	9.975	0.620555	3.6546	4.6528	-0.8508	7.4154	6.7482	2	2
-0.4	9.975	0.632884	3.6623	4.6465	-0.8047	7.2438	6.6066	2	2
-0.4	9.975	0.644776	3.6698	4.6405	-0.7604	7.0808	6.4725	2	2
-0.4	9.975	0.650413	3.6734	4.6375	-0.7394	7.005	6.4101	2	2
-0.4	9.975	0.656069	3.677	4.6345	-0.7185	6.9299	6.3484	2	2
-0.4	9.975	0.661742	3.6805	4.6312	-0.6976	6.856	6.2872	2	2
-0.4	9.975	0.667437	3.6839	4.6278	-0.6767	6.783	6.2267	2	2
-0.4	9.975	0.673135	3.6873	4.6241	-0.656	6.7115	6.1671	2	2
-0.4	9.975	0.678807	3.6906	4.6205	-0.6353	6.6413	6.1085	2	2
-0.4	9.975	0.68444	3.6938	4.6166	-0.6148	6.5728	6.0509	2	2
-0.4	9.975	0.690018	3.697	4.6127	-0.5947	6.5061	5.9943	2	2
-0.4	9.975	0.695533	3.7001	4.6087	-0.5749	6.4409	5.939	2	2
-0.4	9.975	0.700974	3.7031	4.6047	-0.5553	6.3777	5.8849	2	2
-0.4	9.975	0.706331	3.706	4.6004	-0.5361	6.3162	5.8319	2	2
-0.4	9.975	0.711609	3.7088	4.5961	-0.5172	6.2566	5.7803	2	2
-0.4	9.975	0.716795	3.7116	4.5918	-0.4987	6.1988	5.7299	2	2
-0.4	9.975	0.721886	3.7143	4.5875	-0.4805	6.1428	5.6811	2	2
-0.4	9.975	0.726898	3.717	4.5831	-0.4628	6.0885	5.6337	2	2
-0.4	9.975	0.731823	3.7195	4.5786	-0.4453	6.0358	5.5875	2	2
-0.4	9.975	0.736683	3.7219	4.5742	-0.4282	5.9845	5.5424	2	2
-0.4	9.975	0.741465	3.7243	4.5696	-0.4112	5.9344	5.4981	2	2
-0.4	9.975	0.746195	3.7266	4.565	-0.3946	5.8854	5.4546	2	2
-0.4	9.975	0.750861	3.7289	4.5601	-0.3781	5.8374	5.412	2	2
-0.4	9.975	0.755468	3.7311	4.5552	-0.3618	5.7904	5.37	2	2
-0.4	9.975	0.76002	3.7332	4.5502	-0.3456	5.7441	5.3286	2	2
-0.4	9.975	0.764513	3.7353	4.545	-0.3296	5.6985	5.2878	2	2
-0.4	9.975	0.768952	3.7373	4.5398	-0.3137	5.6539	5.2474	2	2
