# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:25 2017.
# Content of file: isochrone tables with [Fe/H] = 0.3.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 5.31 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
0.3	9.725	0.1	3.43739950932	5.226	-3.09181818182	16.201109091	14.3082727273	1	1
0.3	9.725	0.11	3.45252266929	5.19981818182	-2.96	15.4872909091	13.6940545454	1	1
0.3	9.725	0.13	3.47128690364	5.152	-2.766	14.5685454546	12.9079636363	1	1
0.3	9.725	0.15	3.48549473411	5.112	-2.616	13.8742727272	12.3197090909	1	1
0.3	9.725	0.200347	3.504	5.045	-2.3359	12.7651	11.6449	2	1
0.3	9.725	0.228661	3.5079	5.0116	-2.2297	12.4495	11.345	2	1
0.3	9.725	0.25056	3.5107	4.9885	-2.1553	12.2283	11.135	2	2
0.3	9.725	0.271616	3.5134	4.9679	-2.0893	12.0323	10.9489	2	2
0.3	9.725	0.289926	3.5155	4.9517	-2.0357	11.8735	10.7983	2	2
0.3	9.725	0.302528	3.517	4.9406	-2.0003	11.7687	10.6987	2	2
0.3	9.725	0.310862	3.518	4.9323	-1.9764	11.6996	10.6329	2	2
0.3	9.725	0.316747	3.5187	4.9264	-1.9597	11.6513	10.5869	2	2
0.3	9.725	0.319948	3.5187	4.9257	-1.9544	11.6376	10.5733	2	2
0.3	9.725	0.322344	3.5194	4.9275	-1.9501	11.6179	10.5563	2	2
0.3	9.725	0.325398	3.5198	4.9226	-1.9399	11.5899	10.5293	2	2
0.3	9.725	0.328244	3.5199	4.9172	-1.9298	11.5634	10.5033	2	2
0.3	9.725	0.331323	3.5203	4.9133	-1.9206	11.5369	10.4781	2	2
0.3	9.725	0.332685	3.5196	4.9156	-1.9237	11.5514	10.4905	2	2
0.3	9.725	0.337464	3.521	4.9153	-1.9115	11.5054	10.4493	2	2
0.3	9.725	0.344478	3.5218	4.9072	-1.8915	11.4485	10.3949	2	2
0.3	9.725	0.416446	3.5347	4.8532	-1.7093	10.876	9.8606	2	2
0.3	9.725	0.508466	3.5523	4.7753	-1.4664	10.1176	9.1528	2	2
0.3	9.725	0.514514	3.555	4.7694	-1.4466	10.0437	9.0844	2	2
0.3	9.725	0.527036	3.5589	4.7586	-1.4101	9.918	8.968	2	2
0.3	9.725	0.538337	3.5624	4.7489	-1.3768	9.8002	8.8592	2	2
0.3	9.725	0.549792	3.5661	4.7391	-1.3429	9.6785	8.7469	2	2
0.3	9.725	0.562824	3.5705	4.7282	-1.3044	9.5379	8.6174	2	2
0.3	9.725	0.578706	3.5761	4.7155	-1.2573	9.3595	8.4529	2	2
0.3	9.725	0.598092	3.5834	4.7009	-1.1994	9.1272	8.2391	2	2
0.3	9.725	0.62043	3.5921	4.685	-1.1326	8.8467	7.9811	2	2
0.3	9.725	0.639966	3.5998	4.6711	-1.074	8.6066	7.7599	2	2
0.3	9.725	0.65896	3.6079	4.6588	-1.0171	8.3674	7.5381	2	2
0.3	9.725	0.693399	3.6236	4.6411	-0.9145	7.9318	7.1389	2	2
0.3	9.725	0.734185	3.6423	4.6212	-0.7955	7.4389	6.6923	2	2
0.3	9.725	0.766503	3.6568	4.6061	-0.7035	7.0752	6.3708	2	2
0.3	9.725	0.786101	3.6654	4.5971	-0.6486	6.8672	6.192	2	2
0.3	9.725	0.802083	3.6726	4.5896	-0.6034	6.7002	6.0505	2	2
0.3	9.725	0.815603	3.6788	4.5829	-0.5651	6.5617	5.9341	2	2
0.3	9.725	0.827315	3.6839	4.5768	-0.532	6.4442	5.8357	2	2
0.3	9.725	0.837881	3.6886	4.5711	-0.5026	6.3414	5.7493	2	2
0.3	9.725	0.847868	3.6927	4.5655	-0.4749	6.2466	5.6696	2	2
0.3	9.725	0.85772	3.6967	4.5597	-0.448	6.1555	5.5926	2	2
0.3	9.725	0.867536	3.7006	4.5536	-0.4212	6.0664	5.517	2	2
0.3	9.725	0.877345	3.7045	4.5473	-0.3946	5.9789	5.4425	2	2
0.3	9.725	0.884295	3.7073	4.5426	-0.3757	5.9179	5.3903	2	2
0.3	9.725	0.891152	3.7099	4.5379	-0.3572	5.8583	5.3391	2	2
0.3	9.725	0.89791	3.7124	4.5331	-0.339	5.8001	5.289	2	2
0.3	9.725	0.904566	3.7149	4.5282	-0.321	5.7436	5.2401	2	2
0.3	9.725	0.911107	3.7173	4.5233	-0.3034	5.6888	5.1926	2	2
0.3	9.725	0.91754	3.7195	4.5183	-0.2861	5.6355	5.1461	2	2
0.3	9.725	0.923865	3.7218	4.5132	-0.2691	5.5836	5.1008	2	2
0.3	9.725	0.930088	3.7239	4.5081	-0.2525	5.5333	5.0564	2	2
0.3	9.725	0.936196	3.726	4.5029	-0.2362	5.4843	5.0131	2	2
0.3	9.725	0.942205	3.7281	4.4977	-0.2202	5.4366	4.9707	2	2
0.3	9.725	0.948103	3.7299	4.4924	-0.2045	5.3902	4.9295	2	2
0.3	9.725	0.953897	3.7318	4.4871	-0.189	5.3452	4.8892	2	2
0.3	9.725	0.95958	3.7336	4.4818	-0.174	5.3012	4.8499	2	2
0.3	9.725	0.965165	3.7353	4.4764	-0.1591	5.2584	4.8115	2	2
0.3	9.725	0.970644	3.737	4.4711	-0.1447	5.2167	4.774	2	2
0.3	9.725	0.976007	3.7386	4.4657	-0.1305	5.1761	4.7374	2	2
0.3	9.725	0.981276	3.7401	4.4602	-0.1166	5.1364	4.7017	2	2
0.3	9.725	0.98641	3.7416	4.4548	-0.103	5.098	4.6669	2	2
0.3	9.725	0.991326	3.743	4.4495	-0.09	5.0614	4.6337	2	2
0.3	9.725	0.996044	3.7443	4.4443	-0.0775	5.0262	4.6018	2	2
0.3	9.725	1.000615	3.7456	4.4391	-0.0654	4.9923	4.5707	2	2
0.3	9.725	1.005099	3.7467	4.4339	-0.0534	4.9589	4.5404	2	2
0.3	9.725	1.009483	3.7478	4.4287	-0.0417	4.9266	4.5108	2	2
0.3	9.725	1.01369	3.7489	4.4236	-0.0304	4.8957	4.4824	2	2
0.3	9.725	1.017857	3.75	4.4185	-0.0194	4.8652	4.4543	2	2
0.3	9.725	1.022137	3.7511	4.4133	-0.0081	4.8342	4.4259	2	2
0.3	9.725	1.026786	3.7521	4.4076	0.004	4.8013	4.3955	2	2
0.3	9.725	1.032251	3.7534	4.4009	0.0178	4.7638	4.3608	2	2
0.3	9.725	1.043113	3.7555	4.387	0.0446	4.6918	4.2938	2	2
0.3	9.725	1.056067	3.7576	4.3699	0.0754	4.61	4.2169	2	2
0.3	9.725	1.061178	3.7584	4.3634	0.087	4.5789	4.1876	2	2
0.3	9.725	1.065483	3.759	4.3577	0.097	4.5526	4.1628	2	2
0.3	9.725	1.066059	3.7593	4.3567	0.0994	4.5462	4.157	2	2
0.3	9.725	1.070478	3.7599	4.3509	0.1095	4.5194	4.1316	2	2
0.3	9.725	1.075629	3.7606	4.3441	0.1212	4.4887	4.1025	2	2
0.3	9.725	1.091435	3.7627	4.3228	0.1571	4.3938	4.0126	2	2
0.3	9.725	1.112664	3.7648	4.2929	0.2036	4.2731	3.8969	2	2
0.3	9.725	1.120807	3.7652	4.2817	0.2195	4.2326	3.8573	2	2
0.3	9.725	1.125153	3.7649	4.2745	0.2272	4.2141	3.8382	2	2
0.3	9.725	1.134632	3.7647	4.2593	0.2451	4.17	3.7938	2	2
0.3	9.725	1.141391	3.7644	4.2482	0.2578	4.1387	3.7622	2	2
0.3	9.725	1.146693	3.7642	4.2392	0.2678	4.1142	3.7372	2	2
0.3	9.725	1.151873	3.7639	4.2303	0.2774	4.0907	3.7132	2	2
0.3	9.725	1.157499	3.7635	4.2209	0.2877	4.0659	3.6878	2	2
0.3	9.725	1.163976	3.7632	4.2101	0.2994	4.0375	3.6587	2	2
0.3	9.725	1.172393	3.7626	4.1959	0.3146	4.0007	3.6208	2	2
0.3	9.725	1.181887	3.7619	4.1793	0.3319	3.9591	3.5779	2	2
0.3	9.725	1.190888	3.7612	4.1632	0.3484	3.9195	3.5368	2	2
0.3	9.725	1.198493	3.7606	4.1494	0.3626	3.8853	3.5016	2	2
0.3	9.725	1.203962	3.7603	4.1391	0.3734	3.859	3.4747	2	2
0.3	9.725	1.20825	3.76	4.1307	0.3825	3.8369	3.4522	2	2
0.3	9.725	1.21168	3.76	4.1238	0.3902	3.8178	3.433	2	3
0.3	9.725	1.214357	3.7599	4.1182	0.3968	3.8014	3.4166	2	3
0.3	9.725	1.21662	3.76	4.1132	0.4027	3.7867	3.4021	2	3
0.3	9.725	1.218552	3.7601	4.1089	0.408	3.7731	3.3887	2	3
0.3	9.725	1.220254	3.7603	4.1052	0.413	3.7601	3.3762	2	3
0.3	9.725	1.22162	3.7604	4.1017	0.4175	3.7489	3.3651	2	3
0.3	9.725	1.222753	3.7606	4.0989	0.4216	3.7381	3.355	2	3
0.3	9.725	1.223813	3.7609	4.0962	0.4256	3.7278	3.3451	2	3
0.3	9.725	1.224773	3.761	4.0937	0.4295	3.7177	3.3356	2	3
0.3	9.725	1.225712	3.7613	4.091	0.4335	3.7068	3.3254	2	3
0.3	9.725	1.226604	3.7617	4.0884	0.4377	3.6954	3.3148	2	3
0.3	9.725	1.227433	3.762	4.0858	0.4422	3.6838	3.3039	2	3
0.3	9.725	1.228216	3.7624	4.0833	0.4467	3.6715	3.2926	2	3
0.3	9.725	1.228968	3.7629	4.0806	0.4514	3.659	3.2811	2	3
0.3	9.725	1.229665	3.7634	4.078	0.4562	3.646	3.2691	2	3
0.3	9.725	1.230325	3.7638	4.0753	0.4611	3.6326	3.257	2	3
0.3	9.725	1.230935	3.7644	4.0725	0.4662	3.6187	3.2442	2	3
0.3	9.725	1.231512	3.765	4.0697	0.4715	3.6042	3.2311	2	3
0.3	9.725	1.232072	3.7656	4.0669	0.477	3.5896	3.2177	2	3
0.3	9.725	1.232618	3.7662	4.0639	0.4824	3.5745	3.2039	2	3
0.3	9.725	1.233141	3.7668	4.061	0.4882	3.5591	3.19	2	3
0.3	9.725	1.233658	3.7674	4.0578	0.4939	3.5434	3.1755	2	3
0.3	9.725	1.234165	3.768	4.0546	0.4999	3.5272	3.1608	2	3
0.3	9.725	1.234659	3.7687	4.0513	0.5059	3.5109	3.1459	2	3
0.3	9.725	1.235126	3.7693	4.0476	0.5123	3.4938	3.13	2	3
0.3	9.725	1.235522	3.77	4.0443	0.5182	3.478	3.1156	2	3
0.3	9.725	1.235925	3.7706	4.0406	0.5245	3.4612	3.1	2	3
0.3	9.725	1.236358	3.771	4.0365	0.5309	3.4439	3.0841	2	3
0.3	9.725	1.236807	3.7716	4.0323	0.5375	3.4265	3.0679	2	3
0.3	9.725	1.237259	3.7721	4.0279	0.5441	3.4091	3.0515	2	3
0.3	9.725	1.23771	3.7726	4.0233	0.5507	3.3916	3.0351	2	3
0.3	9.725	1.238166	3.7731	4.0186	0.5574	3.3743	3.0188	2	3
0.3	9.725	1.238761	3.7728	4.0118	0.5639	3.3584	3.0027	2	3
0.3	9.725	1.239443	3.7726	4.0068	0.568	3.3485	2.9922	2	3
0.3	9.725	1.240209	3.7721	4.003	0.57	3.3447	2.9873	2	3
0.3	9.725	1.240927	3.7718	3.9961	0.5762	3.3297	2.9719	2	3
0.3	9.725	1.241664	3.7713	3.9913	0.579	3.3238	2.965	2	3
0.3	9.725	1.242346	3.7712	3.9854	0.5845	3.3101	2.9511	2	3
0.3	9.725	1.243092	3.7704	3.9852	0.582	3.3177	2.9571	2	3
0.3	9.725	1.243869	3.7692	3.9818	0.5808	3.3231	2.96	2	3
0.3	9.725	1.244734	3.7681	3.9762	0.5822	3.3216	2.9562	2	3
0.3	9.725	1.245609	3.7672	3.972	0.5833	3.3208	2.9535	2	3
0.3	9.725	1.246484	3.7659	3.9642	0.5862	3.3156	2.9457	2	3
0.3	9.725	1.247328	3.7651	3.9571	0.5903	3.3068	2.9352	2	3
0.3	9.725	1.248177	3.7641	3.9499	0.5939	3.2999	2.9263	2	3
0.3	9.725	1.249041	3.7632	3.9438	0.5966	3.295	2.9193	2	3
0.3	9.725	1.24989	3.7624	3.9388	0.5987	3.291	2.9136	2	3
0.3	9.725	1.250715	3.7617	3.9342	0.6008	3.2871	2.9083	2	3
0.3	9.725	1.251522	3.761	3.9297	0.6028	3.2836	2.9033	2	3
0.3	9.725	1.252312	3.7602	3.9254	0.6047	3.2803	2.8985	2	3
0.3	9.725	1.253085	3.7595	3.9211	0.6064	3.2774	2.8941	2	3
0.3	9.725	1.253844	3.7588	3.9167	0.608	3.2749	2.8901	2	3
0.3	9.725	1.25459	3.758	3.9124	0.6095	3.2728	2.8865	2	3
0.3	9.725	1.255326	3.7573	3.9081	0.6108	3.2712	2.8832	2	3
0.3	9.725	1.256051	3.7564	3.9037	0.6119	3.2701	2.8804	2	3
0.3	9.725	1.256768	3.7554	3.8993	0.6129	3.2698	2.8782	2	3
0.3	9.725	1.257473	3.7544	3.8948	0.6135	3.2702	2.8766	2	3
0.3	9.725	1.258159	3.7534	3.8904	0.6139	3.2716	2.8758	2	3
0.3	9.725	1.258816	3.7522	3.8862	0.6139	3.2741	2.876	2	3
0.3	9.725	1.260506	3.7489	3.8751	0.6122	3.2865	2.8813	2	3
0.3	9.725	1.262077	3.7452	3.8649	0.6081	3.3069	2.8933	2	3
0.3	9.725	1.263531	3.7411	3.8558	0.6015	3.3349	2.9123	2	3
0.3	9.725	1.264858	3.7369	3.8477	0.5928	3.3694	2.9369	2	3
0.3	9.725	1.266076	3.7324	3.8403	0.5828	3.409	2.9658	2	3
0.3	9.725	1.267217	3.7277	3.8332	0.5719	3.4518	2.9975	2	3
0.3	9.725	1.268329	3.7228	3.8251	0.5608	3.4969	3.0308	2	3
0.3	9.725	1.269468	3.7177	3.8153	0.5503	3.5427	3.064	2	3
0.3	9.725	1.270719	3.7121	3.8018	0.5418	3.5869	3.0939	2	3
0.3	9.725	1.272121	3.7061	3.7817	0.5387	3.6209	3.1126	2	3
0.3	9.725	1.273508	3.7009	3.7561	0.5435	3.6337	3.1113	2	3
0.3	9.725	1.274697	3.697	3.7297	0.5547	3.6249	3.0918	2	3
0.3	9.725	1.275695	3.6942	3.705	0.5689	3.6034	3.063	2	3
0.3	9.725	1.276568	3.6922	3.6819	0.5843	3.5754	3.0295	2	3
0.3	9.725	1.277364	3.6907	3.6601	0.6001	3.544	2.9939	2	3
0.3	9.725	1.278107	3.6894	3.6391	0.6162	3.5105	2.9569	2	3
0.3	9.725	1.278812	3.6883	3.6186	0.6325	3.4758	2.9193	2	3
0.3	9.725	1.279487	3.6873	3.5986	0.6489	3.44	2.8809	2	3
0.3	9.725	1.280138	3.6864	3.5788	0.6654	3.4036	2.8422	2	3
0.3	9.725	1.280768	3.6856	3.5593	0.6818	3.3667	2.8032	2	3
0.3	9.725	1.281417	3.6848	3.5382	0.6999	3.3259	2.7603	2	3
0.3	9.725	1.282058	3.6841	3.517	0.7182	3.2842	2.7167	2	3
0.3	9.725	1.2827	3.6833	3.4961	0.7365	3.2423	2.6732	2	3
0.3	9.725	1.28334	3.6826	3.4754	0.7547	3.2006	2.6299	2	3
0.3	9.725	1.283965	3.682	3.4539	0.7736	3.1571	2.5846	2	3
0.3	9.725	1.284577	3.6812	3.4315	0.7932	3.1118	2.5376	2	3
0.3	9.725	1.285182	3.6805	3.409	0.8132	3.066	2.49	2	3
0.3	9.725	1.285778	3.6797	3.386	0.8335	3.0192	2.4414	2	3
0.3	9.725	1.286367	3.6791	3.3628	0.8542	2.9715	2.3922	2	3
0.3	9.725	1.286948	3.6783	3.3391	0.875	2.9232	2.3421	2	3
0.3	9.725	1.287521	3.6776	3.315	0.8962	2.8742	2.2914	2	3
0.3	9.725	1.288087	3.6768	3.2908	0.9178	2.8248	2.2401	2	3
0.3	9.725	1.288647	3.6761	3.2661	0.9395	2.7748	2.1881	2	3
0.3	9.725	1.289194	3.6753	3.2409	0.9618	2.7237	2.1351	2	3
0.3	9.725	1.289732	3.6744	3.2151	0.9844	2.672	2.0813	2	3
0.3	9.725	1.29026	3.6736	3.1888	1.0074	2.6194	2.0266	2	3
0.3	9.725	1.290778	3.6727	3.1621	1.0308	2.566	1.9709	2	3
0.3	9.725	1.291285	3.6718	3.1348	1.0546	2.512	1.9144	2	3
0.3	9.725	1.291781	3.6708	3.1069	1.0788	2.4569	1.8571	2	3
0.3	9.725	1.292264	3.6699	3.0785	1.1035	2.4011	1.7986	2	3
0.3	9.725	1.292736	3.6689	3.0495	1.1286	2.3446	1.7394	2	3
0.3	9.725	1.293198	3.6678	3.0199	1.1541	2.2873	1.6794	2	3
0.3	9.725	1.293646	3.6667	2.9898	1.1801	2.2294	1.6186	2	3
0.3	9.725	1.294081	3.6655	2.9589	1.2064	2.1709	1.5569	2	3
0.3	9.725	1.294501	3.6643	2.9273	1.2331	2.1118	1.4944	2	3
0.3	9.725	1.29491	3.663	2.8953	1.2603	2.0522	1.4312	2	3
0.3	9.725	1.295305	3.6617	2.8626	1.2878	1.992	1.3673	2	3
0.3	9.725	1.295687	3.6604	2.8295	1.3158	1.9314	1.3027	2	3
0.3	9.725	1.296058	3.659	2.7957	1.344	1.8703	1.2377	2	3
0.3	9.725	1.296416	3.6575	2.7616	1.3724	1.809	1.1722	2	3
0.3	9.725	1.296765	3.656	2.727	1.4012	1.7475	1.1064	2	3
0.3	9.725	1.297108	3.6545	2.6922	1.4301	1.686	1.0406	2	3
0.3	9.725	1.297451	3.653	2.6575	1.4589	1.6252	0.9753	2	3
0.3	9.725	1.297821	3.6514	2.6215	1.4886	1.5628	0.9083	2	3
0.3	9.725	1.298345	3.651	2.6078	1.5006	1.5359	0.8802	2	3
0.3	9.725	1.298404	3.6511	2.6108	1.4983	1.5405	0.8852	2	3
0.3	9.725	1.29846	3.6513	2.6144	1.4955	1.5461	0.8914	2	3
0.3	9.725	1.298512	3.6515	2.6186	1.4921	1.5528	0.8988	2	3
0.3	9.725	1.29856	3.6517	2.6232	1.4885	1.5601	0.9067	2	3
0.3	9.725	1.298605	3.652	2.6281	1.4846	1.5678	0.9152	2	3
0.3	9.725	1.29865	3.6522	2.6333	1.4806	1.5759	0.9241	2	3
0.3	9.725	1.298698	3.6525	2.6383	1.4765	1.5839	0.9329	2	3
0.3	9.725	1.29875	3.6527	2.6432	1.4726	1.5915	0.9414	2	3
0.3	9.725	1.298805	3.653	2.6475	1.4692	1.5983	0.9487	2	3
0.3	9.725	1.298865	3.6532	2.6509	1.4666	1.6036	0.9545	2	3
0.3	9.725	1.299494	3.6525	2.6307	1.4843	1.5636	0.9126	2	3
0.3	9.725	1.300114	3.6496	2.5667	1.5369	1.4544	0.7948	2	3
0.3	9.725	1.300674	3.6467	2.503	1.589	1.348	0.6796	2	3
0.3	9.725	1.30117	3.643	2.4266	1.6508	1.2232	0.5438	2	3
0.3	9.725	1.301602	3.6392	2.3521	1.7106	1.1049	0.4146	2	3
0.3	9.725	1.301981	3.6355	2.2794	1.7686	0.9922	0.2909	2	3
0.3	9.725	1.302311	3.6319	2.2084	1.825	0.8844	0.1725	2	3
0.3	9.725	1.302603	3.6281	2.1382	1.8806	0.7804	0.0581	2	3
0.3	9.725	1.30286	3.6246	2.0701	1.9344	0.6819	-0.0507	2	3
