# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:11 2017.
# Content of file: isochrone tables with [Fe/H] = -0.8.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 1.88 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
-0.8	9.275	0.1	3.48267702142	5.308	-2.99545454546	14.6750181818	13.0108181818	1	1
-0.8	9.275	0.11	3.50143159249	5.26945454546	-2.838	13.8922727273	12.4220727273	1	1
-0.8	9.275	0.13	3.52240311024	5.212	-2.62581818182	12.9916909091	11.6876727273	1	1
-0.8	9.275	0.15	3.53471246406	5.172	-2.47254545455	12.4307454545	11.2000909091	1	1
-0.8	9.275	0.195909	3.5438	5.1056	-2.2483	11.7679	10.7967	2	1
-0.8	9.275	0.242503	3.5546	5.0597	-2.0662	11.1957	10.2519	2	1
-0.8	9.275	0.277782	3.5608	5.0307	-1.9531	10.8516	9.9225	2	2
-0.8	9.275	0.299312	3.5641	5.0121	-1.8882	10.6577	9.7367	2	2
-0.8	9.275	0.309639	3.5657	5.0008	-1.8559	10.5624	9.6452	2	2
-0.8	9.275	0.315654	3.5665	4.9928	-1.8362	10.505	9.5899	2	2
-0.8	9.275	0.319783	3.5671	4.9866	-1.822	10.4641	9.5505	2	2
-0.8	9.275	0.323057	3.5676	4.9813	-1.8103	10.4308	9.5184	2	2
-0.8	9.275	0.326175	3.568	4.9762	-1.7993	10.3994	9.488	2	2
-0.8	9.275	0.329765	3.5685	4.9709	-1.7873	10.3647	9.4547	2	2
-0.8	9.275	0.334847	3.5692	4.9648	-1.7717	10.3189	9.4106	2	2
-0.8	9.275	0.351291	3.5722	4.9486	-1.7237	10.171	9.2693	2	2
-0.8	9.275	0.392048	3.5803	4.9085	-1.6039	9.8015	8.9217	2	2
-0.8	9.275	0.424596	3.5875	4.8743	-1.5047	9.4954	8.6363	2	2
-0.8	9.275	0.434274	3.5903	4.8611	-1.4707	9.3873	8.5359	2	2
-0.8	9.275	0.445901	3.5938	4.8464	-1.4308	9.2602	8.4187	2	2
-0.8	9.275	0.458758	3.5978	4.8302	-1.3859	9.117	8.2874	2	2
-0.8	9.275	0.471834	3.6023	4.814	-1.3394	8.9671	8.1512	2	2
-0.8	9.275	0.484425	3.6071	4.7989	-1.2938	8.8191	8.0178	2	2
-0.8	9.275	0.496874	3.6123	4.785	-1.2484	8.67	7.8849	2	2
-0.8	9.275	0.509554	3.6181	4.7723	-1.2014	8.5142	7.7475	2	2
-0.8	9.275	0.522707	3.6248	4.7608	-1.1518	8.3458	7.6016	2	2
-0.8	9.275	0.535794	3.632	4.7511	-1.1027	8.1746	7.455	2	2
-0.8	9.275	0.548374	3.6389	4.7429	-1.0563	8.0121	7.3166	2	2
-0.8	9.275	0.560542	3.6458	4.7355	-1.012	7.8566	7.1846	2	2
-0.8	9.275	0.57269	3.6529	4.7292	-0.9676	7.6991	7.0518	2	2
-0.8	9.275	0.581996	3.6593	4.725	-0.9306	7.5647	6.9401	2	2
-0.8	9.275	0.593792	3.6672	4.7214	-0.8862	7.4012	6.8058	2	2
-0.8	9.275	0.616114	3.6805	4.7144	-0.8101	7.13	6.5823	2	2
-0.8	9.275	0.651202	3.7002	4.7019	-0.6953	6.7453	6.2587	2	2
-0.8	9.275	0.715986	3.7306	4.6713	-0.504	6.1703	5.7556	2	2
-0.8	9.275	0.786313	3.7605	4.6307	-0.303	5.6077	5.2525	2	2
-0.8	9.275	0.826403	3.7754	4.6024	-0.1931	5.3172	4.9877	2	2
-0.8	9.275	0.854023	3.7847	4.5808	-0.1192	5.1267	4.8134	2	2
-0.8	9.275	0.87139	3.7902	4.5662	-0.074	5.0104	4.706	2	2
-0.8	9.275	0.884876	3.7942	4.5547	-0.0396	4.9227	4.6251	2	2
-0.8	9.275	0.896728	3.7976	4.5443	-0.0099	4.8468	4.5551	2	2
-0.8	9.275	0.908756	3.801	4.5337	0.0201	4.7707	4.4844	2	2
-0.8	9.275	0.92128	3.8045	4.5226	0.051	4.6921	4.4113	2	2
-0.8	9.275	0.934288	3.8081	4.5111	0.0828	4.6113	4.3364	2	2
-0.8	9.275	0.947527	3.8116	4.4997	0.1147	4.5301	4.2609	2	2
-0.8	9.275	0.960587	3.8151	4.4884	0.1458	4.451	4.1875	2	2
-0.8	9.275	0.973565	3.8185	4.4773	0.1763	4.3735	4.1155	2	2
-0.8	9.275	0.986292	3.8219	4.4667	0.2058	4.2982	4.0458	2	2
-0.8	9.275	0.992113	3.8235	4.4621	0.2197	4.2628	4.013	2	2
-0.8	9.275	0.996914	3.8251	4.4583	0.2324	4.2306	3.9834	2	2
-0.8	9.275	1.004248	3.827	4.4525	0.2493	4.1875	3.9435	2	2
-0.8	9.275	1.011665	3.829	4.4466	0.2663	4.1441	3.9034	2	2
-0.8	9.275	1.019144	3.831	4.4407	0.2833	4.1006	3.8633	2	2
-0.8	9.275	1.026583	3.833	4.4349	0.3001	4.0575	3.8236	2	2
-0.8	9.275	1.03212	3.8346	4.4309	0.3131	4.0243	3.7933	2	2
-0.8	9.275	1.039492	3.8367	4.4253	0.3298	3.9817	3.7541	2	2
-0.8	9.275	1.044049	3.8383	4.4223	0.3415	3.9515	3.7267	2	2
-0.8	9.275	1.050713	3.8401	4.4174	0.3567	3.9126	3.691	2	2
-0.8	9.275	1.057197	3.8419	4.4126	0.3715	3.8746	3.6562	2	2
-0.8	9.275	1.063541	3.8438	4.4081	0.386	3.8375	3.6221	2	2
-0.8	9.275	1.069924	3.8456	4.4036	0.4004	3.8006	3.5882	2	2
-0.8	9.275	1.076722	3.8476	4.3991	0.4154	3.7619	3.553	2	2
-0.8	9.275	1.100699	3.8535	4.3828	0.4644	3.6362	3.4377	2	2
-0.8	9.275	1.106459	3.8553	4.3793	0.4772	3.6032	3.4079	2	2
-0.8	9.275	1.112688	3.8571	4.3759	0.4905	3.569	3.3769	2	2
-0.8	9.275	1.137267	3.8629	4.3614	0.5368	3.4505	3.2686	2	2
-0.8	9.275	1.146559	3.8653	4.3555	0.5555	3.4024	3.2247	2	2
-0.8	9.275	1.154586	3.8673	4.3499	0.572	3.3601	3.186	2	2
-0.8	9.275	1.161733	3.8692	4.3453	0.5867	3.3224	3.1515	2	2
-0.8	9.275	1.169005	3.8711	4.3409	0.6014	3.2845	3.1167	2	2
-0.8	9.275	1.192837	3.8764	4.3226	0.65	3.16	3.0018	2	2
-0.8	9.275	1.198081	3.8779	4.319	0.661	3.1316	2.9758	2	2
-0.8	9.275	1.203723	3.8794	4.3154	0.6726	3.1017	2.9486	2	2
-0.8	9.275	1.223937	3.883	4.2988	0.711	3.0034	2.8569	2	2
-0.8	9.275	1.233802	3.8849	4.2899	0.7305	2.9536	2.8105	2	2
-0.8	9.275	1.242295	3.8864	4.282	0.7474	2.9104	2.7701	2	2
-0.8	9.275	1.250061	3.8877	4.2742	0.763	2.8705	2.7324	2	2
-0.8	9.275	1.257075	3.8888	4.267	0.7772	2.8344	2.6984	2	2
-0.8	9.275	1.262036	3.8898	4.2625	0.7873	2.8085	2.6741	2	2
-0.8	9.275	1.26681	3.8907	4.2581	0.7969	2.7837	2.6508	2	2
-0.8	9.275	1.271377	3.8916	4.2539	0.8063	2.76	2.6286	2	2
-0.8	9.275	1.275728	3.8923	4.2496	0.8151	2.7375	2.6073	2	2
-0.8	9.275	1.279902	3.893	4.2454	0.8235	2.7159	2.587	2	2
-0.8	9.275	1.283914	3.8937	4.2411	0.8316	2.695	2.5673	2	2
-0.8	9.275	1.287792	3.8943	4.2367	0.8396	2.675	2.5482	2	2
-0.8	9.275	1.291557	3.8947	4.2323	0.8472	2.6554	2.5296	2	2
-0.8	9.275	1.295225	3.8951	4.2278	0.8547	2.6364	2.5115	2	2
-0.8	9.275	1.298809	3.8955	4.2232	0.862	2.6179	2.4936	2	2
-0.8	9.275	1.302327	3.8958	4.2185	0.8691	2.5998	2.4762	2	2
-0.8	9.275	1.305806	3.8961	4.2137	0.8761	2.582	2.459	2	2
-0.8	9.275	1.309241	3.8963	4.2087	0.883	2.5645	2.442	2	2
-0.8	9.275	1.312661	3.8964	4.2036	0.8899	2.5473	2.425	2	2
-0.8	9.275	1.316071	3.8965	4.1984	0.8967	2.5302	2.4083	2	2
-0.8	9.275	1.319456	3.8965	4.193	0.9035	2.5133	2.3916	2	2
-0.8	9.275	1.322821	3.8966	4.1875	0.9102	2.4965	2.375	2	2
