# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:04 2017.
# Content of file: isochrone tables with [Fe/H] = -1.4.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 9.44 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
-1.4	9.975	0.1	3.50846446256	5.34409090909	-2.92181818182	13.7902727273	12.3750454546	1	1
-1.4	9.975	0.11	3.52785764538	5.295	-2.75954545454	13.1102272728	11.8406363637	1	1
-1.4	9.975	0.13	3.54975391509	5.235	-2.54045454546	12.3130909091	11.1543636364	1	1
-1.4	9.975	0.15	3.56286364754	5.19454545454	-2.38318181818	11.7940454545	10.6829545455	1	1
-1.4	9.975	0.177066	3.5638	5.1384	-2.2438	11.5115	10.5766	2	1
-1.4	9.975	0.192478	3.5687	5.1138	-2.1636	11.2687	10.3481	2	1
-1.4	9.975	0.20643	3.5723	5.0926	-2.0971	11.0712	10.1622	2	1
-1.4	9.975	0.220399	3.5754	5.073	-2.0367	10.8937	9.9945	2	1
-1.4	9.975	0.235475	3.5785	5.0542	-1.9768	10.719	9.8302	2	1
-1.4	9.975	0.25153	3.5814	5.0361	-1.9185	10.5493	9.6706	2	2
-1.4	9.975	0.269745	3.5844	5.0185	-1.8586	10.3755	9.5074	2	2
-1.4	9.975	0.285824	3.5869	5.0044	-1.8096	10.2341	9.3747	2	2
-1.4	9.975	0.298582	3.5886	4.9933	-1.7723	10.1261	9.2737	2	2
-1.4	9.975	0.307037	3.5897	4.9863	-1.7486	10.0578	9.2097	2	2
-1.4	9.975	0.313582	3.5906	4.9814	-1.7311	10.0077	9.1628	2	2
-1.4	9.975	0.318462	3.5913	4.9779	-1.7184	9.9712	9.1285	2	2
-1.4	9.975	0.322405	3.5918	4.9755	-1.7087	9.9426	9.102	2	2
-1.4	9.975	0.326058	3.5923	4.973	-1.6993	9.9153	9.0766	2	2
-1.4	9.975	0.329938	3.5928	4.9701	-1.6892	9.8861	9.0494	2	2
-1.4	9.975	0.33491	3.5935	4.967	-1.6768	9.85	9.0158	2	2
-1.4	9.975	0.340963	3.5943	4.9628	-1.6614	9.8053	8.9743	2	2
-1.4	9.975	0.350131	3.5957	4.9549	-1.6367	9.7335	8.9078	2	2
-1.4	9.975	0.378064	3.6009	4.9264	-1.5541	9.4875	8.6814	2	2
-1.4	9.975	0.410777	3.6084	4.889	-1.4501	9.1721	8.3952	2	2
-1.4	9.975	0.423842	3.6121	4.872	-1.4048	9.0328	8.2697	2	2
-1.4	9.975	0.432149	3.615	4.8599	-1.373	8.9332	8.1808	2	2
-1.4	9.975	0.44255	3.6186	4.8459	-1.3344	8.8121	8.0726	2	2
-1.4	9.975	0.454382	3.623	4.8303	-1.2897	8.6701	7.9469	2	2
-1.4	9.975	0.466862	3.6283	4.8145	-1.2407	8.5115	7.8079	2	2
-1.4	9.975	0.47955	3.6344	4.7992	-1.1894	8.3428	7.661	2	2
-1.4	9.975	0.491085	3.6405	4.7864	-1.142	8.1847	7.5246	2	2
-1.4	9.975	0.50167	3.6464	4.7758	-1.0986	8.0375	7.3985	2	2
-1.4	9.975	0.510706	3.6517	4.7675	-1.0611	7.9084	7.289	2	2
-1.4	9.975	0.519084	3.6571	4.7608	-1.0259	7.7859	7.186	2	2
-1.4	9.975	0.527424	3.6627	4.7547	-0.9906	7.6635	7.0831	2	2
-1.4	9.975	0.536097	3.6685	4.7486	-0.954	7.5376	6.977	2	2
-1.4	9.975	0.545414	3.6749	4.7424	-0.9148	7.4049	6.8651	2	2
-1.4	9.975	0.555478	3.6817	4.7357	-0.8727	7.265	6.7466	2	2
-1.4	9.975	0.565949	3.689	4.7289	-0.8291	7.122	6.6247	2	2
-1.4	9.975	0.576516	3.6962	4.722	-0.7852	6.9824	6.5041	2	2
-1.4	9.975	0.581697	3.6997	4.7186	-0.7637	6.9155	6.446	2	2
-1.4	9.975	0.586865	3.7032	4.7149	-0.7423	6.8499	6.3888	2	2
-1.4	9.975	0.591996	3.7066	4.7113	-0.7212	6.7859	6.3326	2	2
-1.4	9.975	0.597085	3.71	4.7075	-0.7004	6.7236	6.2775	2	2
-1.4	9.975	0.60213	3.7132	4.7035	-0.6798	6.6628	6.2232	2	2
-1.4	9.975	0.607127	3.7163	4.6994	-0.6594	6.6035	6.1703	2	2
-1.4	9.975	0.612082	3.7194	4.6951	-0.6392	6.5453	6.1183	2	2
-1.4	9.975	0.617	3.7224	4.6909	-0.6193	6.4882	6.0673	2	2
-1.4	9.975	0.621876	3.7255	4.6865	-0.5995	6.4324	6.0171	2	2
-1.4	9.975	0.626716	3.7284	4.6821	-0.5799	6.3774	5.9676	2	2
-1.4	9.975	0.631526	3.7313	4.6773	-0.5605	6.3234	5.9189	2	2
-1.4	9.975	0.636312	3.734	4.6726	-0.5411	6.2698	5.8707	2	2
-1.4	9.975	0.641081	3.7368	4.6676	-0.5219	6.2169	5.823	2	2
