# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:07 2017.
# Content of file: isochrone tables with [Fe/H] = -1.15.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 7.94 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
-1.15	9.9	0.1	3.49840239367	5.33	-2.95136363636	14.1128636364	12.6064090909	1	1
-1.15	9.9	0.11	3.51741147169	5.285	-2.79	13.3938181818	12.0527727273	1	1
-1.15	9.9	0.13	3.53862647418	5.225	-2.57545454545	12.5593181818	11.3524545455	1	1
-1.15	9.9	0.15	3.55165587047	5.185	-2.41863636364	12.0209545454	10.8714545454	1	1
-1.15	9.9	0.185753	3.5566	5.1208	-2.2343	11.5663	10.6173	2	1
-1.15	9.9	0.203326	3.5617	5.0954	-2.1492	11.3055	10.3699	2	1
-1.15	9.9	0.218021	3.5652	5.0752	-2.0846	11.1116	10.1855	2	1
-1.15	9.9	0.23168	3.5681	5.0579	-2.0294	10.9482	10.0297	2	1
-1.15	9.9	0.245886	3.5708	5.0411	-1.9761	10.7908	9.88	2	1
-1.15	9.9	0.263017	3.5737	5.0236	-1.9175	10.6192	9.7168	2	2
-1.15	9.9	0.28002	3.5763	5.0079	-1.8642	10.463	9.5685	2	2
-1.15	9.9	0.294557	3.5785	4.9947	-1.8202	10.3354	9.4476	2	2
-1.15	9.9	0.304489	3.5799	4.9853	-1.7908	10.2501	9.3668	2	2
-1.15	9.9	0.311055	3.5808	4.9793	-1.772	10.1956	9.315	2	2
-1.15	9.9	0.316312	3.5814	4.9746	-1.7573	10.1533	9.2749	2	2
-1.15	9.9	0.320575	3.582	4.9711	-1.7457	10.1198	9.2432	2	2
-1.15	9.9	0.324356	3.5825	4.9681	-1.7356	10.0902	9.2154	2	2
-1.15	9.9	0.328166	3.583	4.9652	-1.7255	10.0609	9.1878	2	2
-1.15	9.9	0.333056	3.5837	4.9618	-1.7129	10.0242	9.1532	2	2
-1.15	9.9	0.339488	3.5847	4.9574	-1.6966	9.9762	9.1081	2	2
-1.15	9.9	0.349088	3.5861	4.9498	-1.6712	9.9022	9.0392	2	2
-1.15	9.9	0.39103	3.5946	4.9048	-1.5434	9.5161	8.6808	2	2
-1.15	9.9	0.417158	3.6007	4.8742	-1.4596	9.2614	8.4484	2	2
-1.15	9.9	0.43088	3.6046	4.8563	-1.4119	9.1143	8.3151	2	2
-1.15	9.9	0.442345	3.6082	4.8406	-1.3701	8.9837	8.1975	2	2
-1.15	9.9	0.451071	3.6118	4.828	-1.3354	8.8725	8.0984	2	2
-1.15	9.9	0.463341	3.6164	4.812	-1.2889	8.7238	7.9664	2	2
-1.15	9.9	0.475383	3.6217	4.797	-1.2417	8.57	7.8312	2	2
