# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:27 2017.
# Content of file: isochrone tables with [Fe/H] = 0.4.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 8.41 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
0.4	9.925	0.1	3.43350418563	5.218	-3.09909090909	16.3260545455	14.423	1	1
0.4	9.925	0.11	3.44819088887	5.19309090909	-2.97	15.6274181818	13.8094363636	1	1
0.4	9.925	0.13	3.46670352611	5.146	-2.778	14.7133636364	13.0207090909	1	1
0.4	9.925	0.15	3.48116432857	5.106	-2.628	14.0061818181	12.4215818182	1	1
0.4	9.925	0.181977	3.4974	5.0545	-2.4138	13.0688	11.9213	2	1
0.4	9.925	0.202851	3.5006	5.0262	-2.3255	12.8051	11.6708	2	1
0.4	9.925	0.220466	3.503	5.0036	-2.2573	12.603	11.4783	2	1
0.4	9.925	0.23682	3.5051	4.9844	-2.1984	12.429	11.3127	2	1
0.4	9.925	0.253266	3.5072	4.9668	-2.1432	12.2662	11.1578	2	2
0.4	9.925	0.271993	3.5096	4.9489	-2.0848	12.094	10.9942	2	2
0.4	9.925	0.290169	3.5118	4.9323	-2.0311	11.9353	10.8435	2	2
0.4	9.925	0.30288	3.5133	4.9228	-1.997	11.8339	10.7474	2	2
0.4	9.925	0.310762	3.5142	4.918	-1.9775	11.7761	10.6925	2	2
0.4	9.925	0.31608	3.5147	4.914	-1.9637	11.7352	10.6537	2	2
0.4	9.925	0.319772	3.5151	4.9104	-1.9534	11.7053	10.6252	2	2
0.4	9.925	0.322078	3.5151	4.9101	-1.9506	11.7004	10.6197	2	2
0.4	9.925	0.324263	3.5158	4.9101	-1.9448	11.6776	10.5995	2	2
0.4	9.925	0.326308	3.516	4.9065	-1.9376	11.6578	10.5805	2	2
0.4	9.925	0.328062	3.5162	4.9076	-1.9353	11.6491	10.5726	2	2
